# Percent efficiencies for sum of all SR bins, each SR bin, SR bin groups:
      mg   mchi10    xsec (pb)      all SRs          SR1          SR2          SR3          SR4          SR5          SR6          SR7          SR8          SR9         SR10         SR11         SR12         SR13         SR14         SR15         SR16         SR17         SR18         SR19         SR20         SR21         SR22         SR23         SR24         SR25         SR26         SR27         SR28         SR29         SR30         SR31         SR32         SR33         SR34         SR35         SR36         SR37         SR38         SR39         SR40         SR41         SR42         SR43         SR44         SR45         SR46         SR47         SR48         SR49    hadronSRs    leptonSRs     shortSRs      longSRs      1DTkSRs  multiDTkSRs 
    1000        1    3.850e-01      0.00054      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00029      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00025      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00054      0.00000      0.00054      0.00000      0.00054      0.00000 
    1000      200    3.850e-01      3.28089      0.00000      0.00000      0.00000      0.00000      0.00697      0.00612      0.00072      0.00082      0.00000      0.00000      0.00000      0.00000      0.29864      0.17270      0.04607      0.03771      0.00035      0.00000      0.00034      0.00000      0.95535      0.37290      0.11618      0.05715      0.00368      0.00348      0.00047      0.00020      0.00500      0.00535      0.00055      0.00073      0.25403      0.10254      0.03745      0.01589      0.00173      0.00142      0.00007      0.00000      0.00842      0.00465      0.00101      0.00087      0.33398      0.14382      0.04289      0.02970      0.21093      2.07202      0.99793      2.68115      0.38881      3.06996      0.21093 
    1000      400    3.850e-01      4.88513      0.00000      0.00000      0.00000      0.00000      0.00508      0.00661      0.00009      0.00159      0.00000      0.00001      0.00000      0.00012      0.25740      0.64093      0.04567      0.10712      0.00026      0.00098      0.00000      0.00023      0.74300      1.13650      0.10054      0.20680      0.00023      0.00305      0.00015      0.00000      0.00154      0.00703      0.00120      0.00128      0.13174      0.27504      0.01641      0.05077      0.00313      0.00333      0.00016      0.00000      0.00123      0.00659      0.00043      0.00452      0.21878      0.40437      0.04271      0.06671      0.39183      3.25291      1.24039      3.84683      0.64647      4.49330      0.39183 
    1000      600    3.850e-01      4.42737      0.00000      0.00034      0.00000      0.00000      0.00260      0.01731      0.00036      0.00235      0.00021      0.00399      0.00193      0.00001      0.24269      1.23905      0.03932      0.22652      0.00031      0.00000      0.00000      0.00000      0.22766      0.82546      0.03486      0.13902      0.00030      0.00800      0.00026      0.00073      0.00579      0.01418      0.00010      0.00270      0.05906      0.24876      0.00938      0.03791      0.00032      0.00455      0.00019      0.00031      0.00404      0.01531      0.00000      0.00185      0.10369      0.38653      0.01659      0.06781      0.43500      3.00399      0.98838      3.41016      0.58221      3.99237      0.43500 
    1000      800    3.850e-01      1.82867      0.00041      0.01455      0.00000      0.00141      0.01416      0.14988      0.00222      0.02331      0.00000      0.00352      0.00000      0.00132      0.05939      0.44926      0.00640      0.09765      0.00036      0.00069      0.00000      0.00000      0.03950      0.33130      0.00581      0.05228      0.00001      0.00979      0.00000      0.00084      0.00206      0.00570      0.00000      0.00182      0.01790      0.10799      0.00137      0.02308      0.00276      0.01493      0.00126      0.00492      0.00160      0.01275      0.00000      0.00217      0.02479      0.14780      0.00420      0.03735      0.15018      1.25341      0.42508      1.41109      0.26741      1.67849      0.15018 
    1100      800    1.910e-01      3.57080      0.00011      0.00223      0.00000      0.00155      0.00641      0.06233      0.00323      0.01062      0.00010      0.00550      0.00000      0.00000      0.16835      1.25169      0.02666      0.22837      0.00016      0.00060      0.00000      0.00020      0.09531      0.49276      0.01377      0.07960      0.00000      0.00585      0.00000      0.00020      0.00078      0.02206      0.00021      0.00374      0.02253      0.20485      0.00352      0.03658      0.00099      0.00832      0.00000      0.00046      0.00327      0.01908      0.00036      0.00384      0.04212      0.34165      0.00814      0.05119      0.34152      2.44954      0.77973      2.75706      0.47221      3.22928      0.34152 
    1100      900    1.910e-01      1.97896      0.00154      0.00320      0.00000      0.00090      0.01468      0.15146      0.00190      0.02937      0.00025      0.00397      0.00019      0.00081      0.06918      0.47588      0.00990      0.10074      0.00030      0.00090      0.00000      0.00206      0.05040      0.34739      0.00622      0.07775      0.00000      0.01753      0.00020      0.00347      0.00169      0.01253      0.00022      0.00274      0.01393      0.12135      0.00094      0.02168      0.00103      0.01652      0.00000      0.00346      0.00078      0.01910      0.00001      0.00196      0.03288      0.16234      0.00511      0.03142      0.15906      1.34900      0.47090      1.51882      0.30109      1.81991      0.15906 
    1200        1    9.850e-02      0.00038      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00038      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00038      0.00000      0.00000      0.00038      0.00038      0.00000 
    1200      200    9.850e-02      2.84685      0.00000      0.00000      0.00000      0.00000      0.00609      0.00036      0.00045      0.00000      0.00000      0.00000      0.00000      0.00000      0.17518      0.08529      0.02170      0.01187      0.00000      0.00000      0.00000      0.00000      0.96225      0.25511      0.14207      0.03639      0.00241      0.00033      0.00000      0.00000      0.00096      0.00060      0.00457      0.00050      0.32568      0.08398      0.02505      0.02185      0.00090      0.00349      0.00000      0.00000      0.00321      0.00136      0.00045      0.00039      0.33570      0.11578      0.04328      0.02048      0.15915      1.69673      0.99097      2.35868      0.32902      2.68770      0.15915 
    1200      400    9.850e-02      4.93186      0.00000      0.00000      0.00000      0.00000      0.00426      0.00221      0.00009      0.00112      0.00000      0.00024      0.00000      0.00000      0.19359      0.36178      0.02687      0.07198      0.00000      0.00009      0.00000      0.00000      1.05157      1.16820      0.15522      0.18031      0.00000      0.00270      0.00029      0.00253      0.00211      0.00375      0.00000      0.00276      0.14515      0.29830      0.02981      0.03641      0.00006      0.00325      0.00000      0.00000      0.00280      0.00434      0.00000      0.00090      0.28111      0.40225      0.04880      0.05513      0.39187      3.21754      1.32245      3.92777      0.61222      4.53999      0.39187 
