# Contour T5btbtLL_ctau200, ExpPlus
#       mg     mchi10
    1000.0       41.4
    1022.3       50.0
    1025.0       51.4
    1050.0       60.3
    1075.0       66.7
    1100.0       71.9
    1119.7       75.0
    1125.0       76.6
    1150.0       82.5
    1175.0       86.7
    1200.0       89.2
    1225.0       90.3
    1250.0       90.3
    1275.0       89.5
    1300.0       87.9
    1325.0       86.1
    1350.0       84.0
    1375.0       82.2
    1400.0       80.8
    1425.0       80.1
    1450.0       79.6
    1475.0       79.5
    1500.0       79.4
    1525.0       78.9
    1550.0       78.1
    1575.0       77.5
    1600.0       77.6
    1625.0       79.8
    1650.0       83.4
    1675.0       88.1
    1700.0       94.1
    1723.6      100.0
    1725.0      100.6
    1750.0      111.4
    1775.0      120.0
    1792.5      125.0
    1800.0      128.9
    1825.0      139.6
    1850.0      148.6
    1854.5      150.0
    1875.0      160.9
    1900.0      173.2
    1904.3      175.0
    1925.0      188.7
    1943.5      200.0
    1950.0      205.8
    1975.0      224.9
    1975.1      225.0
    2000.0      248.8
    2001.4      250.0
    2023.0      275.0
    2025.0      278.1
    2041.8      300.0
    2050.0      313.3
    2058.3      325.0
    2073.1      350.0
    2075.0      353.7
    2087.4      375.0
    2100.0      399.3
    2100.4      400.0
    2113.4      425.0
    2125.0      449.3
    2125.4      450.0
    2137.6      475.0
    2148.7      500.0
    2150.0      503.2
    2159.9      525.0
    2170.4      550.0
    2175.0      562.2
    2180.6      575.0
    2190.6      600.0
    2200.0      624.7
    2200.1      625.0
    2210.2      650.0
    2219.5      675.0
    2225.0      691.0
    2228.5      700.0
    2237.4      725.0
    2245.6      750.0
    2250.0      764.8
    2253.5      775.0
    2261.5      800.0
    2268.9      825.0
    2275.0      847.4
    2275.8      850.0
    2282.9      875.0
    2289.4      900.0
    2295.4      925.0
    2300.0      945.7
    2301.1      950.0
    2306.7      975.0
    2311.9     1000.0
    2316.7     1025.0
    2321.0     1050.0
    2325.0     1075.0
    2325.0     1075.0
    2329.2     1100.0
    2333.0     1125.0
    2336.4     1150.0
    2339.3     1175.0
    2341.9     1200.0
    2344.0     1225.0
    2345.8     1250.0
    2347.4     1275.0
    2348.8     1300.0
    2350.0     1323.9
    2350.1     1325.0
    2351.3     1350.0
    2352.5     1375.0
    2353.5     1400.0
    2354.3     1425.0
    2355.1     1450.0
    2355.6     1475.0
    2355.9     1500.0
    2355.9     1525.0
    2355.5     1550.0
    2354.8     1575.0
    2353.6     1600.0
    2351.8     1625.0
    2350.0     1642.6
    2349.3     1650.0
    2346.2     1675.0
    2342.3     1700.0
    2337.2     1725.0
    2330.6     1750.0
    2325.0     1766.1
    2322.2     1775.0
    2311.9     1800.0
    2300.0     1820.6
    2297.4     1825.0
    2276.9     1850.0
    2275.0     1851.7
    2250.0     1872.8
    2247.4     1875.0
    2225.0     1888.9
    2205.4     1900.0
    2200.0     1902.4
    2175.0     1914.7
    2157.4     1925.0
    2150.0     1929.1
    2125.0     1949.1
    2124.3     1950.0
    2104.4     1975.0
    2100.0     1981.2
    2090.2     2000.0
    2078.5     2025.0
    2075.0     2050.0
    2050.0     2025.0
    2025.0     2000.0
    2000.0     1975.0
    1975.0     1950.0
    1950.0     1925.0
    1925.0     1900.0
    1900.0     1875.0
    1875.0     1850.0
    1850.0     1825.0
    1825.0     1800.0
    1800.0     1775.0
    1775.0     1750.0
    1750.0     1725.0
    1725.0     1700.0
    1700.0     1675.0
    1675.0     1650.0
    1650.0     1625.0
    1625.0     1600.0
    1600.0     1575.0
    1575.0     1550.0
    1550.0     1525.0
    1525.0     1500.0
    1500.0     1475.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
