msbottom   mchi10            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     700      350     0.00144618     0.00073400     0.00105791     0.00163486     0.00259243     0.00398626
     700      400     0.00210369     0.00109437     0.00157777     0.00243715     0.00389407     0.00595524
     700      450     0.00348743     0.00176113     0.00252999     0.00395165     0.00634817     0.00984721
     700      500     0.00817207     0.00390005     0.00566409     0.00891601     0.01452937     0.02308468
     700      517     0.01300770     0.00684536     0.00998724     0.01578531     0.02584844     0.04090520
     700      533     0.00984387     0.00513094     0.00750308     0.01173532     0.01902940     0.02983467
     700      550     0.00872450     0.00478690     0.00699284     0.01093045     0.01781299     0.02781694
     700      600     0.01140297     0.00767205     0.01120592     0.01770876     0.02899350     0.04587463
     750        1     0.25560706     0.07698246     0.14100278     0.31804664     0.63988707     0.96441478
     750       50     0.00043755     0.00021971     0.00031595     0.00049325     0.00078821     0.00122741
     750      100     0.00039011     0.00018645     0.00027271     0.00042617     0.00068782     0.00107260
     750      150     0.00045909     0.00022118     0.00032042     0.00049691     0.00079395     0.00122530
     750      200     0.00056321     0.00027975     0.00039855     0.00061762     0.00097942     0.00149192
     750      250     0.00073594     0.00036479     0.00052079     0.00079865     0.00125990     0.00190811
     750      300     0.00097480     0.00048830     0.00069697     0.00106861     0.00168680     0.00257801
     750      350     0.00114586     0.00056957     0.00082495     0.00127943     0.00204474     0.00312676
     750      400     0.00150757     0.00074927     0.00108780     0.00171219     0.00276238     0.00428951
     750      450     0.00193311     0.00102813     0.00147964     0.00231035     0.00369031     0.00572116
     750      500     0.00359415     0.00168476     0.00244801     0.00381368     0.00612384     0.00950357
     750      550     0.00868749     0.00398537     0.00582555     0.00910941     0.01484854     0.02348011
     750      567     0.02214490     0.01003657     0.01457144     0.02292757     0.03755656     0.05992015
     750      583     0.00981761     0.00509676     0.00740473     0.01165349     0.01899703     0.02991617
     750      600     0.00892216     0.00455392     0.00667452     0.01059323     0.01734593     0.02745055
     750      650     0.00977860     0.00608720     0.00883261     0.01391213     0.02266249     0.03600909
     800        1     2.30376359     0.58573244     1.14638093     3.05980291     6.15789187     9.28018464
     800       50     0.00045183     0.00022602     0.00032519     0.00050781     0.00081539     0.00126513
     800      100     0.00035234     0.00017165     0.00025020     0.00039254     0.00063352     0.00098789
     800      150     0.00042388     0.00020830     0.00030155     0.00046793     0.00074745     0.00115357
     800      200     0.00050245     0.00024893     0.00035686     0.00054929     0.00087138     0.00132723
     800      250     0.00063364     0.00032264     0.00046033     0.00070591     0.00111350     0.00168651
     800      300     0.00072112     0.00037498     0.00053784     0.00082762     0.00131265     0.00200892
     800      350     0.00098424     0.00048497     0.00069528     0.00107062     0.00171050     0.00261549
     800      400     0.00119308     0.00060638     0.00087290     0.00134960     0.00215631     0.00329752
     800      450     0.00147601     0.00075488     0.00109787     0.00170937     0.00275804     0.00426357
     800      500     0.00219713     0.00106337     0.00154352     0.00243093     0.00396188     0.00618415
