msbottom   mchi10            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1300     1100     0.00710190     0.00323910     0.00478003     0.00767844     0.01275722     0.02053524
    1300     1117     0.01267642     0.00589937     0.00865463     0.01372075     0.02258647     0.03619612
    1300     1133     0.00917056     0.00455526     0.00671657     0.01070149     0.01777828     0.02850228
    1300     1150     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1300     1200     0.00707857     0.00411902     0.00612409     0.00994844     0.01676436     0.02719325
    1350       50     0.00069855     0.00035878     0.00051196     0.00078519     0.00125451     0.00192698
    1350      100     0.00033907     0.00017058     0.00024812     0.00038656     0.00062370     0.00096406
    1350      150     0.00031219     0.00015325     0.00022141     0.00034712     0.00056022     0.00087364
    1350      200     0.00033333     0.00015981     0.00023362     0.00036533     0.00058964     0.00091146
    1350      250     0.00037498     0.00018349     0.00026568     0.00041207     0.00065830     0.00101600
    1350      300     0.00039397     0.00019342     0.00027728     0.00042698     0.00068213     0.00104309
    1350      350     0.00047205     0.00022944     0.00032903     0.00050641     0.00080303     0.00123469
    1350      400     0.00052701     0.00025926     0.00037018     0.00056761     0.00089772     0.00137006
    1350      450     0.00058035     0.00029306     0.00041831     0.00064115     0.00101204     0.00154679
    1350      500     0.00062226     0.00031934     0.00045547     0.00069854     0.00110511     0.00168649
    1350      550     0.00066445     0.00034344     0.00049252     0.00075830     0.00121179     0.00185299
    1350      600     0.00075487     0.00038248     0.00055354     0.00085846     0.00137216     0.00212703
    1350      650     0.00081589     0.00039172     0.00057196     0.00090361     0.00145815     0.00227404
    1350      700     0.00084381     0.00042456     0.00062471     0.00098862     0.00161106     0.00251552
    1350      750     0.00089707     0.00043993     0.00064868     0.00103399     0.00170137     0.00268149
    1350      800     0.00096273     0.00048279     0.00071942     0.00115546     0.00191973     0.00303989
    1350      850     0.00102865     0.00051070     0.00076515     0.00123330     0.00206002     0.00328879
    1350      900     0.00113105     0.00056405     0.00083476     0.00135057     0.00224439     0.00359792
    1350      950     0.00132548     0.00065275     0.00097135     0.00157748     0.00264652     0.00424176
    1350     1000     0.00160494     0.00077556     0.00115230     0.00187266     0.00314227     0.00503839
    1350     1050     0.00222454     0.00103132     0.00154299     0.00248837     0.00415528     0.00663365
    1350     1100     0.00393766     0.00184609     0.00272038     0.00433445     0.00716917     0.01144309
    1350     1150     0.00768930     0.00378584     0.00557217     0.00897575     0.01498164     0.02421468
    1350     1167     0.01084159     0.00483602     0.00716585     0.01146350     0.01923269     0.03108605
    1350     1183     0.00863905     0.00422387     0.00625929     0.01001640     0.01679602     0.02714146
    1350     1200     0.00668145     0.00351687     0.00517509     0.00833359     0.01398246     0.02268049
    1350     1250     0.00684027     0.00417249     0.00620059     0.01008232     0.01707524     0.02789174
    1400       50     0.00069287     0.00036311     0.00051823     0.00079457     0.00125992     0.00193733
    1400      100     0.00035700     0.00018244     0.00026244     0.00040993     0.00066141     0.00102235
    1400      150     0.00031502     0.00015519     0.00022532     0.00035464     0.00057217     0.00089249
    1400      200     0.00032224     0.00015976     0.00022974     0.00035883     0.00057915     0.00089516
    1400      250     0.00036348     0.00017835     0.00025728     0.00040065     0.00064328     0.00098900
    1400      300     0.00039902     0.00019563     0.00028121     0.00043922     0.00070192     0.00108304
    1400      350     0.00043516     0.00021217     0.00030574     0.00047251     0.00075109     0.00115273
    1400      400     0.00052457     0.00025784     0.00036793     0.00056432     0.00089512     0.00136347
    1400      450     0.00053722     0.00027179     0.00038770     0.00059438     0.00093789     0.00143383
    1400      500     0.00061019     0.00030957     0.00044151     0.00067696     0.00107087     0.00163442
    1400      550     0.00065398     0.00032463     0.00046556     0.00071678     0.00113955     0.00174917
    1400      600     0.00071836     0.00036344     0.00052339     0.00080875     0.00129239     0.00198520
    1400      650     0.00075204     0.00038224     0.00054930     0.00085801     0.00137757     0.00213772
    1400      700     0.00079515     0.00039620     0.00058086     0.00092193     0.00150210     0.00236615
    1400      750     0.00081196     0.00040137     0.00059129     0.00094268     0.00155088     0.00245512
    1400      800     0.00090208     0.00044478     0.00065508     0.00104438     0.00171915     0.00270893
    1400      850     0.00094323     0.00047889     0.00071242     0.00114497     0.00191100     0.00305142
    1400      900     0.00108321     0.00052120     0.00078087     0.00125849     0.00209222     0.00335349
    1400      950     0.00113744     0.00055521     0.00083432     0.00136753     0.00230589     0.00372444
    1400     1000     0.00126200     0.00062571     0.00093485     0.00152456     0.00257058     0.00416926
    1400     1050     0.00169775     0.00080661     0.00120490     0.00196566     0.00332959     0.00537692
    1400     1100     0.00206945     0.00101361     0.00150572     0.00244771     0.00410584     0.00663435
    1400     1150     0.00351995     0.00162690     0.00239543     0.00381606     0.00634457     0.01017060
    1400     1200     0.00494892     0.00254304     0.00374312     0.00602900     0.01001786     0.01612115
    1400     1217     0.01090919     0.00537910     0.00792709     0.01262672     0.02097848     0.03363351
    1400     1233     0.00944389     0.00471147     0.00684036     0.01077008     0.01772212     0.02840844
    1400     1250     0.00817160     0.00391367     0.00570744     0.00902319     0.01485142     0.02380213
    1400     1300     0.00650501     0.00363210     0.00550003     0.00920314     0.01602493     0.02676283
    1450        1     4.96964225     0.73124769     1.44851805     4.40425896     8.86349545    13.35744232
    1450       50     0.00072378     0.00037912     0.00053839     0.00082245     0.00130441     0.00200540
    1450      100     0.00035003     0.00017676     0.00025720     0.00040046     0.00064632     0.00100786
    1450      150     0.00030827     0.00015044     0.00021851     0.00034395     0.00055492     0.00086554
    1450      200     0.00031841     0.00015597     0.00022534     0.00035333     0.00057029     0.00088554
    1450      250     0.00033477     0.00016503     0.00023850     0.00037394     0.00060356     0.00093293
    1450      300     0.00039269     0.00018990     0.00027352     0.00042271     0.00067542     0.00103275
    1450      350     0.00043742     0.00021354     0.00030631     0.00047139     0.00074770     0.00114957
    1450      400     0.00048101     0.00024310     0.00034685     0.00053194     0.00084153     0.00128411
    1450      450     0.00053279     0.00026921     0.00038424     0.00058910     0.00092964     0.00142114
    1450      500     0.00059770     0.00030253     0.00042956     0.00065630     0.00103554     0.00158293
    1450      550     0.00061097     0.00031138     0.00044416     0.00068106     0.00107771     0.00164453
    1450      600     0.00066626     0.00033638     0.00048506     0.00074948     0.00119727     0.00184749
    1450      650     0.00075143     0.00037352     0.00053697     0.00083809     0.00134599     0.00208865
    1450      700     0.00075410     0.00038295     0.00055935     0.00088394     0.00143345     0.00224657
    1450      750     0.00081532     0.00040907     0.00059983     0.00095239     0.00155151     0.00242265
    1450      800     0.00082165     0.00040829     0.00060481     0.00096820     0.00159249     0.00253188
    1450      850     0.00093727     0.00046211     0.00068572     0.00109659     0.00181305     0.00287051
    1450      900     0.00092724     0.00046708     0.00069889     0.00112791     0.00188303     0.00300662
    1450      950     0.00103345     0.00050890     0.00076289     0.00124051     0.00208070     0.00336170
    1450     1000     0.00107422     0.00053103     0.00079785     0.00130715     0.00221363     0.00357554
    1450     1050     0.00119362     0.00059266     0.00088536     0.00144480     0.00242357     0.00391508
    1450     1100     0.00157958     0.00076085     0.00113024     0.00183733     0.00309714     0.00502268
    1450     1150     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1450     1200     0.00354949     0.00162262     0.00238056     0.00377901     0.00627967     0.00998395
    1450     1250     0.00716695     0.00327148     0.00480025     0.00761711     0.01253770     0.02009242
    1450     1267     0.00822247     0.00387620     0.00576420     0.00937068     0.01572056     0.02559985
    1450     1283     0.00680153     0.00337163     0.00503663     0.00820846     0.01390276     0.02281052
    1450     1300     0.00704691     0.00355236     0.00533818     0.00874922     0.01496104     0.02451966
    1450     1350     0.00685358     0.00392653     0.00593144     0.00976279     0.01668776     0.02755117
    1500        1     1.27133916     0.23438759     0.49914118     1.53822786     3.09590894     4.66545174
    1500       50     0.00070768     0.00037560     0.00053333     0.00081468     0.00129229     0.00198695
    1500      100     0.00037416     0.00018869     0.00027134     0.00042361     0.00068371     0.00106626
    1500      150     0.00030877     0.00015629     0.00022699     0.00035728     0.00057665     0.00089933
    1500      200     0.00031349     0.00015274     0.00022326     0.00034907     0.00056335     0.00087845
    1500      250     0.00033030     0.00016057     0.00023205     0.00036383     0.00058725     0.00091179
    1500      300     0.00037026     0.00018085     0.00026058     0.00040277     0.00064350     0.00099306
    1500      350     0.00042692     0.00020705     0.00029488     0.00045672     0.00072634     0.00111457
    1500      400     0.00045371     0.00022195     0.00031819     0.00048978     0.00077681     0.00118315
    1500      450     0.00049963     0.00025017     0.00035681     0.00054716     0.00086354     0.00132014
    1500      500     0.00055583     0.00028332     0.00040225     0.00061460     0.00096722     0.00146733
    1500      550     0.00059230     0.00029823     0.00042545     0.00065239     0.00102957     0.00157360
    1500      600     0.00062759     0.00031457     0.00045296     0.00070006     0.00111871     0.00171084
    1500      650     0.00074062     0.00036352     0.00052420     0.00080995     0.00129386     0.00199654
    1500      700     0.00073590     0.00037470     0.00053869     0.00084125     0.00134414     0.00208419
    1500      750     0.00079630     0.00039426     0.00057907     0.00090849     0.00147394     0.00230007
    1500      800     0.00079510     0.00040499     0.00059111     0.00093431     0.00152245     0.00238752
    1500      850     0.00088667     0.00043090     0.00064590     0.00104126     0.00172981     0.00275063
    1500      900     0.00090034     0.00043805     0.00065540     0.00105751     0.00175638     0.00281639
    1500      950     0.00100645     0.00049084     0.00073855     0.00119636     0.00200647     0.00321660
    1500     1000     0.00110345     0.00054707     0.00081734     0.00133365     0.00224791     0.00361697
    1500     1050     0.00109027     0.00053320     0.00080079     0.00131111     0.00222133     0.00360108
    1500     1100     0.00137052     0.00065033     0.00097710     0.00160056     0.00271095     0.00437922
    1500     1150     0.00149798     0.00074899     0.00112533     0.00184357     0.00312263     0.00508181
    1500     1200     0.00199047     0.00096047     0.00142938     0.00232194     0.00389362     0.00629155
    1500     1250     0.00315955     0.00148104     0.00219379     0.00351130     0.00586245     0.00939534
    1500     1300     0.00661055     0.00301260     0.00446591     0.00714545     0.01198983     0.01936741
    1500     1317     0.00887687     0.00446984     0.00660531     0.01068783     0.01792122     0.02895450
    1500     1333     0.00824398     0.00393400     0.00584139     0.00949112     0.01592857     0.02583235
    1500     1350     0.00632088     0.00315395     0.00469848     0.00754093     0.01265475     0.02044229
    1500     1400     0.00888071     0.00498590     0.00753836     0.01239861     0.02139174     0.03579397
    1550       50     0.00073628     0.00039884     0.00056639     0.00086523     0.00137226     0.00210970
    1550      100     0.00038126     0.00019029     0.00027543     0.00042719     0.00068950     0.00106571
    1550      150     0.00033067     0.00016360     0.00023657     0.00037078     0.00059844     0.00093323
    1550      200     0.00032578     0.00015804     0.00022843     0.00035818     0.00057805     0.00089348
    1550      250     0.00035525     0.00017341     0.00025107     0.00038951     0.00062863     0.00097159
    1550      300     0.00037033     0.00018168     0.00026117     0.00040787     0.00065165     0.00100567
    1550      350     0.00041863     0.00020410     0.00029276     0.00045053     0.00071633     0.00109927
    1550      400     0.00044274     0.00021866     0.00031492     0.00048647     0.00077750     0.00118867
    1550      450     0.00052263     0.00025619     0.00036718     0.00056498     0.00089402     0.00136405
    1550      500     0.00056017     0.00027777     0.00039466     0.00060278     0.00095129     0.00144728
    1550      550     0.00059084     0.00029991     0.00042773     0.00065584     0.00103745     0.00158342
    1550      600     0.00064694     0.00032495     0.00046592     0.00071742     0.00113771     0.00173272
    1550      650     0.00066512     0.00033485     0.00048252     0.00074540     0.00119090     0.00182150
    1550      700     0.00070787     0.00034873     0.00050488     0.00078311     0.00125156     0.00193151
    1550      750     0.00073758     0.00036987     0.00054082     0.00084510     0.00136389     0.00211814
    1550      800     0.00086350     0.00042090     0.00061746     0.00097940     0.00159686     0.00249290
    1550      850     0.00080878     0.00041078     0.00060595     0.00096560     0.00158859     0.00250391
    1550      900     0.00086302     0.00042718     0.00063288     0.00101198     0.00167403     0.00264975
    1550      950     0.00087822     0.00043129     0.00064035     0.00104119     0.00173834     0.00277459
    1550     1000     0.00096035     0.00046565     0.00069565     0.00113466     0.00190375     0.00307634
    1550     1050     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1550     1100     0.00121466     0.00059799     0.00088971     0.00144514     0.00242414     0.00391599
    1550     1150     0.00132188     0.00065638     0.00097660     0.00158626     0.00266086     0.00431550
    1550     1200     0.00168320     0.00079492     0.00118757     0.00193718     0.00328127     0.00529946
    1550     1250     0.00228712     0.00107247     0.00160464     0.00258773     0.00434268     0.00698932
    1550     1300     0.00339682     0.00158078     0.00232957     0.00371240     0.00613952     0.00980027
    1550     1350     0.00723335     0.00339931     0.00500730     0.00797711     0.01325677     0.02142767
    1550     1367     0.00995329     0.00463940     0.00681782     0.01099237     0.01843910     0.03003304
    1550     1383     0.00759562     0.00374208     0.00550165     0.00886156     0.01480112     0.02401300
    1550     1400     0.00562624     0.00311526     0.00460542     0.00745081     0.01255491     0.02036359
    1550     1450     0.00628368     0.00379521     0.00570417     0.00935166     0.01583420     0.02596990
    1600        1     5.04972721     0.75121698     1.46346593     4.47266364     9.00089280    13.56448183
    1600       50     0.00075674     0.00040756     0.00057891     0.00088414     0.00140583     0.00215726
    1600      100     0.00039108     0.00019813     0.00028479     0.00044478     0.00071439     0.00110844
    1600      150     0.00031408     0.00015506     0.00022672     0.00035451     0.00057219     0.00089245
    1600      200     0.00031939     0.00015452     0.00022429     0.00035316     0.00056995     0.00088870
    1600      250     0.00033919     0.00016363     0.00023924     0.00037409     0.00060090     0.00093225
    1600      300     0.00036935     0.00017967     0.00025994     0.00040332     0.00064448     0.00099453
    1600      350     0.00041874     0.00020297     0.00029097     0.00044788     0.00071227     0.00109302
    1600      400     0.00045318     0.00022263     0.00031918     0.00049129     0.00077921     0.00119236
    1600      450     0.00050057     0.00024643     0.00035158     0.00053896     0.00085057     0.00130004
    1600      500     0.00051193     0.00025989     0.00037073     0.00056836     0.00089683     0.00137106
    1600      550     0.00059530     0.00029989     0.00042613     0.00065073     0.00102431     0.00155393
    1600      600     0.00061550     0.00031172     0.00044475     0.00068201     0.00108142     0.00164728
    1600      650     0.00063728     0.00032060     0.00046165     0.00071350     0.00113468     0.00174132
    1600      700     0.00069516     0.00035092     0.00050454     0.00078764     0.00125879     0.00195137
    1600      750     0.00069592     0.00035828     0.00051757     0.00081129     0.00130293     0.00202160
    1600      800     0.00073831     0.00037350     0.00054503     0.00086198     0.00139769     0.00219068
    1600      850     0.00075333     0.00037596     0.00055486     0.00088400     0.00145424     0.00228304
    1600      900     0.00083352     0.00041202     0.00061051     0.00097666     0.00160773     0.00253378
    1600      950     0.00091956     0.00046065     0.00068360     0.00109307     0.00179836     0.00285846
    1600     1000     0.00090686     0.00044972     0.00066799     0.00108559     0.00181289     0.00289519
    1600     1050     0.00097443     0.00047637     0.00071174     0.00116080     0.00196653     0.00317633
    1600     1100     0.00113011     0.00055893     0.00083510     0.00136198     0.00229605     0.00372400
    1600     1150     0.00116654     0.00057126     0.00085840     0.00140665     0.00238310     0.00387879
    1600     1200     0.00132706     0.00065880     0.00098978     0.00162126     0.00275814     0.00447187
    1600     1250     0.00163479     0.00077257     0.00116069     0.00190132     0.00321923     0.00522127
    1600     1300     0.00210465     0.00095923     0.00143302     0.00233739     0.00395994     0.00642035
    1600     1350     0.00314205     0.00146391     0.00217206     0.00347232     0.00576934     0.00917323
    1600     1400     0.00702064     0.00350114     0.00505669     0.00793378     0.01292623     0.02035985
    1600     1417     0.01050755     0.00461648     0.00689363     0.01116038     0.01889338     0.03099415
    1600     1433     0.00676484     0.00372877     0.00546788     0.00867344     0.01440660     0.02310215
    1600     1450     0.00657539     0.00341103     0.00503901     0.00808357     0.01343972     0.02171357
    1600     1500     0.00848906     0.00514857     0.00765394     0.01242954     0.02105644     0.03466164
    1650       50     0.00084407     0.00043789     0.00062177     0.00094988     0.00150669     0.00231630
    1650      100     0.00040553     0.00020788     0.00030102     0.00046705     0.00074994     0.00116357
    1650      150     0.00033203     0.00016230     0.00023726     0.00037083     0.00059852     0.00093335
    1650      200     0.00032596     0.00016130     0.00023503     0.00036868     0.00059503     0.00092383
    1650      250     0.00033195     0.00016295     0.00023701     0.00036924     0.00059572     0.00092093
    1650      300     0.00038184     0.00018588     0.00026912     0.00041730     0.00066683     0.00102926
    1650      350     0.00039830     0.00019296     0.00027715     0.00042973     0.00068326     0.00104842
    1650      400     0.00045218     0.00021948     0.00031475     0.00048442     0.00076818     0.00117551
    1650      450     0.00048072     0.00023219     0.00033298     0.00051248     0.00081048     0.00123689
    1650      500     0.00051461     0.00026015     0.00037099     0.00056908     0.00090023     0.00137338
    1650      550     0.00057838     0.00028860     0.00040971     0.00062594     0.00098780     0.00150297
    1650      600     0.00058942     0.00029574     0.00042427     0.00065299     0.00103787     0.00159308
    1650      650     0.00061241     0.00031233     0.00044994     0.00069550     0.00111132     0.00169925
    1650      700     0.00066406     0.00032694     0.00047080     0.00072718     0.00116231     0.00177737
    1650      750     0.00070423     0.00035156     0.00051065     0.00080380     0.00129777     0.00201479
    1650      800     0.00072883     0.00035900     0.00052377     0.00082805     0.00134941     0.00209808
    1650      850     0.00076734     0.00038534     0.00056495     0.00089668     0.00146096     0.00228191
    1650      900     0.00079880     0.00039247     0.00057922     0.00092938     0.00153778     0.00243433
    1650      950     0.00087549     0.00043290     0.00064127     0.00102571     0.00168717     0.00267088
    1650     1000     0.00088214     0.00042959     0.00064275     0.00103709     0.00172248     0.00276203
    1650     1050     0.00094952     0.00047998     0.00071435     0.00115981     0.00193676     0.00310540
    1650     1100     0.00109833     0.00052942     0.00078785     0.00127959     0.00214641     0.00344036
    1650     1150     0.00107348     0.00050137     0.00075338     0.00123442     0.00209126     0.00337785
    1650     1200     0.00106056     0.00051579     0.00077922     0.00128222     0.00217142     0.00353463
    1650     1250     0.00133603     0.00063938     0.00097127     0.00160535     0.00274415     0.00449689
    1650     1300     0.00163173     0.00075811     0.00113915     0.00186673     0.00317715     0.00517001
    1650     1350     0.00194115     0.00094520     0.00140405     0.00228159     0.00382731     0.00613639
    1650     1400     0.00329342     0.00149404     0.00222624     0.00357503     0.00594060     0.00948600
    1650     1450     0.00867245     0.00388930     0.00564507     0.00888527     0.01462079     0.02324003
    1650     1467     0.01015273     0.00468517     0.00696792     0.01132172     0.01918249     0.03146148
    1650     1483     0.00774571     0.00378903     0.00559301     0.00890589     0.01480068     0.02391447
    1650     1500     0.00587957     0.00306620     0.00455626     0.00740729     0.01248535     0.02040367
    1650     1550     0.00594607     0.00349034     0.00521470     0.00850882     0.01440733     0.02327291
    1700       50     0.00088072     0.00046580     0.00066140     0.00101032     0.00160262     0.00246409
    1700      100     0.00040222     0.00020540     0.00029603     0.00045746     0.00073454     0.00113962
    1700      150     0.00033750     0.00016875     0.00024367     0.00038215     0.00061680     0.00095346
    1700      200     0.00032004     0.00015626     0.00022818     0.00036064     0.00058182     0.00090746
    1700      250     0.00034063     0.00016566     0.00023944     0.00037545     0.00060593     0.00093656
    1700      300     0.00034321     0.00016701     0.00024286     0.00037834     0.00061039     0.00094369
    1700      350     0.00038667     0.00018846     0.00027266     0.00042305     0.00067602     0.00104320
    1700      400     0.00044553     0.00021662     0.00031040     0.00047788     0.00075798     0.00115990
    1700      450     0.00046633     0.00023013     0.00033003     0.00050794     0.00080546     0.00122694
    1700      500     0.00050979     0.00025111     0.00035837     0.00054966     0.00086714     0.00132570
    1700      550     0.00053617     0.00026745     0.00037988     0.00058002     0.00091069     0.00138414
    1700      600     0.00055904     0.00028351     0.00040440     0.00062010     0.00097632     0.00148811
    1700      650     0.00065359     0.00033123     0.00047265     0.00072486     0.00114360     0.00174845
    1700      700     0.00061444     0.00031102     0.00045053     0.00069878     0.00111654     0.00172338
    1700      750     0.00070372     0.00034063     0.00049741     0.00077777     0.00125577     0.00194060
    1700      800     0.00068272     0.00035135     0.00051057     0.00080317     0.00129612     0.00202173
    1700      850     0.00072934     0.00036313     0.00052965     0.00083687     0.00135730     0.00212780
    1700      900     0.00080693     0.00039650     0.00058412     0.00093079     0.00153103     0.00241345
    1700      950     0.00079334     0.00039276     0.00058173     0.00092998     0.00153123     0.00241280
    1700     1000     0.00081535     0.00041252     0.00061468     0.00098693     0.00164786     0.00263180
    1700     1050     0.00093383     0.00045811     0.00068396     0.00110682     0.00183883     0.00294806
    1700     1100     0.00090533     0.00044664     0.00067109     0.00109965     0.00186263     0.00300823
    1700     1150     0.00099820     0.00048773     0.00073285     0.00120120     0.00203430     0.00328520
    1700     1200     0.00098639     0.00048664     0.00073128     0.00119870     0.00203045     0.00327895
    1700     1250     0.00108669     0.00054012     0.00081157     0.00132961     0.00225251     0.00366585
    1700     1300     0.00135716     0.00065139     0.00098430     0.00162015     0.00275648     0.00450314
    1700     1350     0.00152774     0.00072198     0.00109042     0.00179289     0.00305204     0.00498496
    1700     1400     0.00210588     0.00097237     0.00145214     0.00236957     0.00399384     0.00647695
    1700     1450     0.00313010     0.00138343     0.00206097     0.00330786     0.00549764     0.00888278
    1700     1500     0.00604070     0.00302528     0.00443182     0.00710670     0.01181490     0.01908940
    1700     1517     0.01115395     0.00536426     0.00773730     0.01227067     0.02019410     0.03276389
    1700     1533     0.00919157     0.00456064     0.00666135     0.01052696     0.01732107     0.02787146
    1700     1550     0.00623022     0.00312723     0.00460600     0.00733930     0.01219379     0.01970884
    1700     1600     0.00657719     0.00361335     0.00549467     0.00907816     0.01558815     0.02581601
    1750       50     0.00089012     0.00048151     0.00068068     0.00103560     0.00163410     0.00249804
    1750      100     0.00041830     0.00021491     0.00031123     0.00048277     0.00077135     0.00119570
    1750      150     0.00032454     0.00016159     0.00023471     0.00036945     0.00059606     0.00092971
    1750      200     0.00032463     0.00015857     0.00023019     0.00036244     0.00058496     0.00091221
    1750      250     0.00033534     0.00016140     0.00023610     0.00036895     0.00059547     0.00092454
    1750      300     0.00035149     0.00016639     0.00024204     0.00037687     0.00060828     0.00094021
    1750      350     0.00039486     0.00018918     0.00027392     0.00042485     0.00067872     0.00104751
    1750      400     0.00044620     0.00021995     0.00031549     0.00048550     0.00077212     0.00118488
    1750      450     0.00045445     0.00022270     0.00031937     0.00049153     0.00078132     0.00119913
    1750      500     0.00051192     0.00025455     0.00036328     0.00055721     0.00088135     0.00134492
    1750      550     0.00054562     0.00027032     0.00038376     0.00058629     0.00092522     0.00141440
    1750      600     0.00059016     0.00029660     0.00042141     0.00064356     0.00101065     0.00153581
    1750      650     0.00063281     0.00032287     0.00046054     0.00070619     0.00110908     0.00168528
    1750      700     0.00065538     0.00032500     0.00046825     0.00072369     0.00115634     0.00176825
    1750      750     0.00072622     0.00035732     0.00051469     0.00079565     0.00127100     0.00196158
    1750      800     0.00070230     0.00034760     0.00050823     0.00079402     0.00128198     0.00198124
    1750      850     0.00071421     0.00035431     0.00051861     0.00081033     0.00130771     0.00203981
    1750      900     0.00073355     0.00035686     0.00052869     0.00084524     0.00138450     0.00217224
    1750      950     0.00079302     0.00039880     0.00058750     0.00093664     0.00154096     0.00242870
    1750     1000     0.00081820     0.00041113     0.00061264     0.00098396     0.00162747     0.00257567
    1750     1050     0.00088205     0.00043975     0.00065793     0.00106117     0.00176325     0.00282697
    1750     1100     0.00085479     0.00041378     0.00062145     0.00101812     0.00170724     0.00275881
    1750     1150     0.00089417     0.00045561     0.00068057     0.00111020     0.00186305     0.00298624
    1750     1200     0.00094042     0.00045339     0.00068888     0.00113844     0.00194659     0.00318978
    1750     1250     0.00103770     0.00051699     0.00077688     0.00127337     0.00215644     0.00349687
    1750     1300     0.00118054     0.00057730     0.00087220     0.00143509     0.00245329     0.00400557
    1750     1350     0.00132559     0.00064321     0.00097188     0.00159985     0.00272193     0.00442844
    1750     1400     0.00159411     0.00077318     0.00116176     0.00190444     0.00322402     0.00524782
    1750     1450     0.00219744     0.00104394     0.00154996     0.00252019     0.00422754     0.00685730
    1750     1500     0.00303763     0.00139887     0.00207229     0.00331509     0.00551166     0.00887010
    1750     1550     0.00688815     0.00324614     0.00473794     0.00748820     0.01232199     0.01991437
    1750     1567     0.00908289     0.00446843     0.00661016     0.01069892     0.01811711     0.02971166
    1750     1583     0.00914978     0.00453354     0.00661611     0.01046549     0.01705153     0.02708847
    1750     1600     0.00814139     0.00376208     0.00558434     0.00907456     0.01529816     0.02481359
    1750     1650     0.00588334     0.00342175     0.00520028     0.00858981     0.01468580     0.02424220
