# Contour T6tbLL_ctau10, ObsMinus
# msbottom     mchi10
     734.6        0.0
     750.0        6.6
     775.0       15.2
     800.0       21.5
     819.9       25.0
     825.0       27.5
     850.0       37.3
     875.0       44.0
     900.0       48.4
     913.4       50.0
     925.0       55.4
     950.0       63.6
     975.0       68.6
    1000.0       71.6
    1025.0       73.5
    1050.0       74.8
    1054.4       75.0
    1075.0       79.3
    1100.0       83.2
    1125.0       86.3
    1150.0       88.9
    1175.0       91.4
    1200.0       93.9
    1225.0       96.4
    1250.0       98.8
    1263.8      100.0
    1275.0      103.6
    1300.0      110.8
    1325.0      117.2
    1350.0      122.5
    1364.1      125.0
    1375.0      130.7
    1400.0      141.6
    1423.3      150.0
    1425.0      151.8
    1450.0      173.6
    1451.9      175.0
    1460.5      200.0
    1456.7      225.0
    1450.0      240.0
    1446.2      250.0
    1432.8      275.0
    1425.0      287.5
    1418.2      300.0
    1403.7      325.0
    1400.0      331.1
    1390.5      350.0
    1377.7      375.0
    1375.0      380.3
    1366.5      400.0
    1355.8      425.0
    1350.0      438.8
    1346.1      450.0
    1337.6      475.0
    1329.5      500.0
    1325.0      514.7
    1322.4      525.0
    1316.2      550.0
    1309.9      575.0
    1303.3      600.0
    1300.0      611.6
    1296.7      625.0
    1290.2      650.0
    1282.9      675.0
    1275.0      698.2
    1274.5      700.0
    1265.7      725.0
    1254.2      750.0
    1250.0      756.8
    1239.3      775.0
    1225.0      790.0
    1212.7      800.0
    1200.0      805.8
    1175.0      812.0
    1150.0      813.2
    1125.0      810.8
    1100.0      806.8
    1075.0      801.9
    1067.0      800.0
    1050.0      795.9
    1025.0      790.3
    1000.0      786.3
     975.0      785.8
     950.0      791.3
     937.2      800.0
     925.0      810.0
     914.3      825.0
     900.0      847.1
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
