   mstop     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     700      150     0.00103638     0.00054087     0.00077536     0.00119361     0.00189785     0.00291309
     700      200     0.00063347     0.00032592     0.00048307     0.00077299     0.00125944     0.00198368
     700      250     0.00049940     0.00024418     0.00037159     0.00060669     0.00101773     0.00161889
     700      300     0.00039161     0.00019243     0.00029359     0.00048737     0.00083312     0.00134522
     700      350     0.00033426     0.00016569     0.00025592     0.00042859     0.00073947     0.00121072
     700      400     0.00029583     0.00014430     0.00022273     0.00037731     0.00065715     0.00108623
     700      450     0.00031358     0.00015372     0.00023903     0.00040158     0.00069941     0.00115171
     700      500     0.00037966     0.00018913     0.00028835     0.00048447     0.00083618     0.00137888
     700      517     0.00039290     0.00019516     0.00029941     0.00050491     0.00087928     0.00145828
     700      533     0.00045669     0.00021917     0.00033629     0.00056722     0.00098770     0.00163864
     700      550     0.00044768     0.00021601     0.00033517     0.00057016     0.00100218     0.00167109
     700      600     0.00068293     0.00032313     0.00050390     0.00086108     0.00152043     0.00254221
     700      615     0.00036362     0.00017233     0.00026797     0.00045041     0.00079170     0.00132048
     750       50     0.00319806     0.00157642     0.00222852     0.00339161     0.00536508     0.00834156
     750      100     0.00191280     0.00097433     0.00137754     0.00209593     0.00331589     0.00510805
     750      150     0.00098481     0.00049773     0.00070729     0.00108009     0.00171308     0.00263392
     750      200     0.00066129     0.00033416     0.00048850     0.00076350     0.00123238     0.00193057
     750      250     0.00052442     0.00028014     0.00041511     0.00066432     0.00109313     0.00172300
     750      300     0.00041241     0.00020834     0.00032029     0.00052747     0.00088507     0.00141914
     750      350     0.00032738     0.00015720     0.00024410     0.00041031     0.00070777     0.00115450
     750      400     0.00030601     0.00014619     0.00022872     0.00038610     0.00066902     0.00109849
     750      450     0.00026518     0.00013097     0.00020401     0.00034253     0.00059656     0.00098263
     750      500     0.00030122     0.00014875     0.00023019     0.00038489     0.00066714     0.00109963
     750      550     0.00035386     0.00017111     0.00026380     0.00044692     0.00077864     0.00129124
     750      567     0.00038879     0.00018696     0.00028868     0.00048890     0.00085517     0.00142247
     750      583     0.00042867     0.00021502     0.00033056     0.00055062     0.00095041     0.00156705
     750      600     0.00053061     0.00025097     0.00038673     0.00065501     0.00115100     0.00191960
     750      650     0.00065951     0.00032130     0.00049548     0.00082946     0.00144501     0.00238017
