 mchi1pm   dm(chi1pm-chi10)            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     200              3.298     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     200              4.298     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     200              5.298     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     225              0.203     0.05612905     0.02617014     0.03608117     0.05316829     0.08114500     0.12078912
     225              0.303     1.70420393     0.64965515     0.90810672     1.38559911     2.21405462     3.52581042
     225              0.403   135.51658552    49.80504830    87.95287702   202.38510016   407.28185247   613.78921579
     225              0.503     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     225              0.603     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     225              0.803     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     225              1.003     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     225              1.303     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     225              1.803     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     225              2.303     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     225              3.303     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              0.208     0.06896786     0.03117199     0.04318309     0.06385070     0.09796506     0.14643587
     250              0.308     3.22080709     1.01517867     1.44612041     2.24046823     3.70481254     6.10822392
     250              0.408     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              0.458     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              0.508     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              0.608     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              0.808     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              1.008     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              1.308     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              3.308     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              4.308     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              5.308     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              0.165     0.01018615     0.00588236     0.00828364     0.01255144     0.01945704     0.02925240
