      mg   mchi10            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1800     1500     0.00044944     0.00021310     0.00033078     0.00056277     0.00098896     0.00166651
    1800     1600     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1900       25     0.01988867     0.01075944     0.01504949     0.02296034     0.03668850     0.05764967
    1900       50     0.00838499     0.00460589     0.00642624     0.00966953     0.01518027     0.02328848
    1900       75     0.00475901     0.00245987     0.00345633     0.00520395     0.00814936     0.01252772
    1900      150     0.00240390     0.00129571     0.00183284     0.00278837     0.00438846     0.00672168
    1900      900     0.00027776     0.00013012     0.00020542     0.00035455     0.00063132     0.00106043
    1900     1000     0.00025769     0.00012128     0.00019150     0.00033004     0.00058537     0.00098751
    1900     1100     0.00025790     0.00012219     0.00019265     0.00033240     0.00058958     0.00099125
    1900     1200     0.00025859     0.00012458     0.00019566     0.00033578     0.00059029     0.00099104
    1900     1300     0.00024818     0.00011881     0.00018625     0.00031994     0.00056476     0.00094734
    1900     1400     0.00026648     0.00012767     0.00019903     0.00034035     0.00060071     0.00101103
    1900     1500     0.00033877     0.00016313     0.00025257     0.00043007     0.00075540     0.00126009
    1900     1600     0.00047010     0.00021938     0.00034020     0.00057865     0.00101741     0.00170780
    1900     1700     0.00084407     0.00042071     0.00064492     0.00108805     0.00190442     0.00318898
    2000        1     6.05223652     1.34193392     2.33823398     5.20532942    10.47572546    15.78672307
    2000       25     0.02362008     0.01252650     0.01767577     0.02717002     0.04385661     0.07051818
    2000       50     0.00834457     0.00450023     0.00624801     0.00936822     0.01463049     0.02231539
    2000       75     0.00440986     0.00244630     0.00341176     0.00513310     0.00801918     0.01228989
    2000      150     0.00260398     0.00139948     0.00197055     0.00298701     0.00468934     0.00719435
    2000      200     0.00167226     0.00090594     0.00128120     0.00194960     0.00307665     0.00472491
    2000      400     0.00086853     0.00046611     0.00068761     0.00109510     0.00178496     0.00281130
    2000      600     0.00047640     0.00023668     0.00036545     0.00061128     0.00104493     0.00169999
    2000      800     0.00031498     0.00014812     0.00023565     0.00040310     0.00070842     0.00118118
    2000     1000     0.00025936     0.00012228     0.00019288     0.00033287     0.00059029     0.00098916
    2000     1100     0.00024552     0.00011630     0.00018358     0.00031659     0.00056144     0.00094064
    2000     1200     0.00023658     0.00011126     0.00017563     0.00030287     0.00053711     0.00090584
    2000     1300     0.00024976     0.00011937     0.00018744     0.00032191     0.00056808     0.00095639
    2000     1400     0.00024542     0.00011889     0.00018686     0.00031696     0.00055703     0.00093534
    2000     1500     0.00026640     0.00012596     0.00019673     0.00033607     0.00059346     0.00099893
    2000     1600     0.00033762     0.00016113     0.00024821     0.00042052     0.00073905     0.00124106
    2000     1700     0.00044151     0.00020367     0.00031607     0.00053772     0.00094955     0.00159248
    2000     1800     0.00095999     0.00046465     0.00071999     0.00122650     0.00215579     0.00363066
    2100       25     0.02383655     0.01204161     0.01710939     0.02613125     0.04196249     0.06686791
    2100       50     0.00957830     0.00494196     0.00689489     0.01037215     0.01628684     0.02498558
    2100       75     0.00638543     0.00348224     0.00485715     0.00730821     0.01138536     0.01739533
    2100      150     0.00268646     0.00149141     0.00209480     0.00315446     0.00492731     0.00751463
    2100     1100     0.00024612     0.00011537     0.00018219     0.00031427     0.00055727     0.00094015
    2100     1200     0.00023622     0.00011081     0.00017487     0.00030154     0.00053484     0.00090212
    2100     1300     0.00023013     0.00010935     0.00017249     0.00029767     0.00052759     0.00088422
    2100     1400     0.00023464     0.00011069     0.00017636     0.00030162     0.00053234     0.00089593
    2100     1500     0.00023992     0.00011578     0.00018071     0.00030891     0.00054525     0.00091766
    2100     1600     0.00025646     0.00012359     0.00019312     0.00032994     0.00057964     0.00096673
    2100     1700     0.00031962     0.00015296     0.00023916     0.00040361     0.00071262     0.00119139
    2100     1800     0.00044051     0.00020348     0.00031516     0.00053674     0.00094326     0.00158328
    2100     1900     0.00084376     0.00041342     0.00063705     0.00108069     0.00190632     0.00320944
    2200        1     0.64182492     0.09831511     0.21092500     0.69900400     1.40664656     2.11994533
    2200       25     0.02700231     0.01495534     0.02119936     0.03270877     0.05279165     0.08377745
    2200       50     0.00907313     0.00476855     0.00665020     0.01000429     0.01574911     0.02434861
    2200       75     0.00563879     0.00303351     0.00423173     0.00636657     0.00994435     0.01531311
    2200      150     0.00277750     0.00148522     0.00210327     0.00316762     0.00496133     0.00755225
    2200      200     0.00203454     0.00109958     0.00154776     0.00234645     0.00366500     0.00558927
    2200      400     0.00088725     0.00047409     0.00069507     0.00110325     0.00179831     0.00280796
    2200      600     0.00051271     0.00025525     0.00039171     0.00065304     0.00110553     0.00179282
    2200      800     0.00034113     0.00016294     0.00025772     0.00043916     0.00077153     0.00127787
    2200     1000     0.00026742     0.00012563     0.00019836     0.00034186     0.00060634     0.00101628
    2200     1200     0.00023153     0.00010905     0.00017218     0.00029696     0.00052661     0.00088838
    2200     1300     0.00022663     0.00010723     0.00016934     0.00029210     0.00051789     0.00087356
    2200     1400     0.00023293     0.00011077     0.00017470     0.00030145     0.00053219     0.00089253
    2200     1500     0.00022723     0.00010703     0.00016898     0.00029145     0.00051683     0.00087188
    2200     1600     0.00023431     0.00011249     0.00017527     0.00029966     0.00052907     0.00088754
    2200     1700     0.00026011     0.00012336     0.00019267     0.00032915     0.00058123     0.00097166
    2200     1800     0.00031552     0.00015049     0.00023300     0.00039675     0.00069687     0.00117015
    2200     1900     0.00044402     0.00020657     0.00032051     0.00054578     0.00095893     0.00160473
    2200     2000     0.00087922     0.00041235     0.00063840     0.00108710     0.00191066     0.00320792
    2300       25     0.01805895     0.01001767     0.01409768     0.02137555     0.03414999     0.05366790
    2300       50     0.01047648     0.00545569     0.00761078     0.01145112     0.01793582     0.02756579
    2300       75     0.00592273     0.00309129     0.00431007     0.00648572     0.01015443     0.01560904
    2300      150     0.00254968     0.00143242     0.00199737     0.00300607     0.00467037     0.00707987
    2300     1300     0.00023120     0.00010892     0.00017194     0.00029652     0.00052584     0.00088684
    2300     1400     0.00021212     0.00010104     0.00015953     0.00027494     0.00048765     0.00082267
    2300     1500     0.00021683     0.00010299     0.00016262     0.00028027     0.00049710     0.00083318
    2300     1600     0.00021524     0.00010137     0.00016009     0.00027615     0.00048961     0.00082309
    2300     1700     0.00024185     0.00011666     0.00018174     0.00031071     0.00054877     0.00091722
    2300     1800     0.00026290     0.00012472     0.00019450     0.00033267     0.00058733     0.00098511
    2300     1900     0.00031781     0.00015088     0.00023370     0.00039802     0.00069936     0.00117456
    2300     2000     0.00041915     0.00019677     0.00030476     0.00051903     0.00091214     0.00153105
    2300     2100     0.00090715     0.00044302     0.00068212     0.00115561     0.00202174     0.00338714
    2400       25     0.02579042     0.01352439     0.01929089     0.02958996     0.04751253     0.07505001
    2400       50     0.01265903     0.00639818     0.00896431     0.01353444     0.02125001     0.03291778
    2400       75     0.00659956     0.00351958     0.00493943     0.00738593     0.01153625     0.01776719
    2400      150     0.00285733     0.00153465     0.00214138     0.00322180     0.00503224     0.00767435
    2400      200     0.00191023     0.00108824     0.00153198     0.00232209     0.00363694     0.00556355
    2400      400     0.00105592     0.00055377     0.00080915     0.00126560     0.00204195     0.00319895
    2400      600     0.00054550     0.00027709     0.00042621     0.00070167     0.00118807     0.00190438
    2400      800     0.00037002     0.00017593     0.00027458     0.00046938     0.00081768     0.00135616
    2400     1000     0.00027804     0.00013072     0.00020639     0.00035597     0.00063124     0.00105785
    2400     1200     0.00023162     0.00010766     0.00017098     0.00029617     0.00052511     0.00088563
    2400     1400     0.00022819     0.00010567     0.00016783     0.00029075     0.00051794     0.00087285
    2400     1500     0.00021580     0.00010177     0.00016046     0.00027686     0.00049108     0.00082841
    2400     1600     0.00021850     0.00010260     0.00016347     0.00027958     0.00049566     0.00083330
    2400     1700     0.00021785     0.00010286     0.00016248     0.00028030     0.00049694     0.00083281
    2400     1800     0.00022437     0.00010722     0.00016812     0.00028880     0.00050964     0.00085492
    2400     1900     0.00025841     0.00012409     0.00019346     0.00033054     0.00058094     0.00097560
    2400     2000     0.00029716     0.00014201     0.00022000     0.00037473     0.00065548     0.00109793
    2400     2100     0.00043658     0.00020186     0.00031311     0.00053309     0.00093638     0.00157229
    2400     2200     0.00091855     0.00044111     0.00067983     0.00115337     0.00201743     0.00336671
    2500       25     0.02492315     0.01081099     0.01547694     0.02407285     0.03923539     0.06338684
    2500       50     0.00935885     0.00474927     0.00665374     0.01004705     0.01577411     0.02443453
    2500       75     0.00529052     0.00290054     0.00404428     0.00608450     0.00955390     0.01465748
    2500      150     0.00273500     0.00140735     0.00199954     0.00305379     0.00483139     0.00744230
    2500     1500     0.00021906     0.00010205     0.00016209     0.00028102     0.00049836     0.00084326
    2500     1600     0.00021439     0.00010034     0.00015934     0.00027621     0.00048967     0.00082601
    2500     1700     0.00021247     0.00010153     0.00015941     0.00027375     0.00048342     0.00081345
    2500     1800     0.00021706     0.00010425     0.00016368     0.00028107     0.00049604     0.00083215
    2500     1900     0.00023730     0.00011329     0.00017763     0.00030514     0.00053615     0.00090003
    2500     2000     0.00025567     0.00012309     0.00019371     0.00032852     0.00057721     0.00096909
    2500     2100     0.00031708     0.00015262     0.00023690     0.00039817     0.00069658     0.00115853
    2500     2200     0.00045844     0.00021156     0.00032815     0.00055870     0.00098137     0.00163679
    2500     2300     0.00087734     0.00042614     0.00065675     0.00111422     0.00194018     0.00323990
    2600       25     0.02542978     0.01373821     0.01930212     0.02955982     0.04770995     0.07604424
    2600       50     0.00980053     0.00544772     0.00762859     0.01152109     0.01817991     0.02805641
    2600       75     0.00698590     0.00354371     0.00494331     0.00743551     0.01164398     0.01789986
    2600      150     0.00296818     0.00165372     0.00231568     0.00349775     0.00546353     0.00833242
    2600      200     0.00224452     0.00121879     0.00171564     0.00260045     0.00406172     0.00619461
    2600      400     0.00109975     0.00057562     0.00084179     0.00131554     0.00212337     0.00331130
    2600      600     0.00062754     0.00030994     0.00047435     0.00077766     0.00130511     0.00209196
    2600      800     0.00040936     0.00019074     0.00030377     0.00051905     0.00091242     0.00151103
