 mchi1pm   dm(chi1pm-chi10)            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     250              0.408     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              0.458     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              0.508     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              0.608     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              0.808     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              1.008     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              1.308     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              3.308     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              4.308     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     250              5.308     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              0.165     0.06558560     0.03371238     0.04688205     0.06959233     0.10732786     0.16192780
     300              0.215     5.67412355     2.06195734     2.90140442     4.39849319     6.97593987    11.02503753
     300              0.415     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              0.465     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              0.515     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              0.615     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              0.815     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              1.015     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              1.315     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              3.315     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              4.315     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     300              5.315     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     400              0.174     0.11511558     0.05557694     0.07750776     0.11661536     0.18215314     0.28051640
     400              0.224    11.82139838     4.16401501     5.91370209     9.03270948    14.57605447    23.13630840
     400              0.424     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     500              0.180     0.16187119     0.07502097     0.10554145     0.16002767     0.25379108     0.39748313
     500              0.230    24.99467461     9.05720099    12.74997889    19.32708161    30.88122365    48.96615078
