   mstop     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     400        1     0.17336353     0.05357840     0.08760130     0.16521029     0.33250487     0.50108680
     400       50     0.00067866     0.00034729     0.00048870     0.00074101     0.00114561     0.00171258
     400      100     0.00082167     0.00043477     0.00061581     0.00092785     0.00143100     0.00212095
     400      150     0.00151600     0.00076464     0.00106820     0.00159144     0.00242247     0.00354559
     400      200     0.00216291     0.00113770     0.00159259     0.00238791     0.00365474     0.00541657
     400      217     0.00296882     0.00146547     0.00205584     0.00307462     0.00467854     0.00688589
     400      233     0.00330677     0.00160664     0.00226540     0.00339882     0.00522840     0.00776277
     400      250     0.00372534     0.00191793     0.00271687     0.00409143     0.00631097     0.00940084
     400      300     0.00635218     0.00331360     0.00470647     0.00719056     0.01126270     0.01697611
     400      315     0.00362534     0.00167865     0.00240426     0.00370115     0.00582653     0.00883726
     450        1     0.29418756     0.09184174     0.14795659     0.26715272     0.52267344     0.81002240
     450       50     0.00056973     0.00029550     0.00041587     0.00063059     0.00098003     0.00147084
     450      100     0.00068844     0.00036074     0.00050612     0.00075692     0.00116392     0.00172831
     450      150     0.00100258     0.00051764     0.00072590     0.00108559     0.00167013     0.00247954
     450      200     0.00152785     0.00080670     0.00112694     0.00167941     0.00256923     0.00378824
     450      250     0.00246330     0.00126091     0.00177642     0.00266672     0.00410179     0.00608999
     450      267     0.00269724     0.00142625     0.00201075     0.00301689     0.00462884     0.00686639
     450      283     0.00308997     0.00155180     0.00218264     0.00330804     0.00511490     0.00764607
     450      300     0.00336787     0.00174455     0.00249251     0.00378295     0.00587887     0.00882139
     450      350     0.00947671     0.00445604     0.00628275     0.00943242     0.01458593     0.02190935
     450      365     0.00373803     0.00167423     0.00239865     0.00369296     0.00587267     0.00901506
     500        1     0.43748844     0.13466336     0.24306402     0.49979537     1.00588844     1.51600130
     500       50     0.00046942     0.00024719     0.00034777     0.00052732     0.00082363     0.00124411
     500      100     0.00056472     0.00028189     0.00039925     0.00060144     0.00093701     0.00140389
     500      150     0.00077096     0.00039620     0.00055611     0.00083173     0.00127897     0.00190886
     500      200     0.00116876     0.00060186     0.00084481     0.00126314     0.00193783     0.00288169
     500      250     0.00158294     0.00078190     0.00110724     0.00166860     0.00257991     0.00384663
     500      300     0.00238037     0.00121462     0.00170910     0.00259024     0.00402478     0.00604005
     500      317     0.00266950     0.00135458     0.00192702     0.00291510     0.00454173     0.00680504
     500      333     0.00329364     0.00161003     0.00227871     0.00343430     0.00532349     0.00800255
     500      350     0.00366094     0.00177315     0.00253234     0.00388004     0.00610922     0.00926573
     500      400     0.00676985     0.00317493     0.00450490     0.00688485     0.01083476     0.01651464
     500      415     0.00320804     0.00148808     0.00215141     0.00334012     0.00533597     0.00823289
     550        1     0.43461676     0.07857951     0.16377713     0.46795860     0.94169756     1.41920633
     550       50     0.00043394     0.00022155     0.00031309     0.00047651     0.00074817     0.00113691
     550      100     0.00048516     0.00024323     0.00034240     0.00051883     0.00081053     0.00122421
     550      150     0.00066464     0.00033685     0.00047282     0.00070678     0.00109300     0.00162942
     550      200     0.00087292     0.00043442     0.00061271     0.00091925     0.00142150     0.00212465
     550      250     0.00121934     0.00061147     0.00086205     0.00129367     0.00200046     0.00299019
     550      300     0.00177065     0.00083998     0.00118719     0.00180644     0.00281347     0.00421543
     550      350     0.00252319     0.00121380     0.00170798     0.00258992     0.00402376     0.00603834
     550      367     0.00277693     0.00138633     0.00197038     0.00300799     0.00470025     0.00709851
