   mstop     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     550      383     0.00280965     0.00133922     0.00192965     0.00298158     0.00474157     0.00727749
     550      400     0.00333017     0.00158253     0.00224806     0.00343686     0.00539280     0.00819716
     550      450     0.00505816     0.00247149     0.00358006     0.00555245     0.00887337     0.01382115
     550      465     0.00315567     0.00143269     0.00205898     0.00321481     0.00513939     0.00800208
     600        1     0.47110155     0.19474671     0.32977109     0.61577054     1.23450864     1.86771364
     600       50     0.00041434     0.00021083     0.00029801     0.00045361     0.00071396     0.00108288
     600      100     0.00041348     0.00020643     0.00029174     0.00044399     0.00069525     0.00105331
     600      150     0.00053657     0.00027052     0.00037901     0.00057226     0.00088719     0.00133372
     600      200     0.00075873     0.00037114     0.00051966     0.00078502     0.00121384     0.00181867
     600      250     0.00092168     0.00047236     0.00066730     0.00100832     0.00156271     0.00234936
     600      300     0.00126448     0.00063016     0.00089110     0.00135540     0.00210631     0.00316120
     600      350     0.00186469     0.00090394     0.00127326     0.00192926     0.00300623     0.00450418
     600      400     0.00225375     0.00109808     0.00156815     0.00240425     0.00377359     0.00573564
     600      417     0.00293164     0.00146031     0.00207703     0.00314088     0.00490515     0.00740948
     600      433     0.00326144     0.00154383     0.00222450     0.00343813     0.00545119     0.00837953
     600      450     0.00297756     0.00150727     0.00217306     0.00335669     0.00533556     0.00818983
     600      500     0.00710391     0.00314092     0.00454745     0.00705164     0.01132824     0.01749604
     600      515     0.00285553     0.00126657     0.00184228     0.00286704     0.00462642     0.00721712
     650        1     0.68184748     0.27622650     0.43930714     0.78568011     1.54976146     2.38240404
     650       50     0.00038517     0.00019798     0.00027995     0.00042587     0.00067037     0.00102661
     650      100     0.00040191     0.00020139     0.00028358     0.00042974     0.00067136     0.00101891
     650      150     0.00047988     0.00023557     0.00033357     0.00050246     0.00078283     0.00118448
     650      200     0.00059011     0.00029241     0.00041233     0.00061871     0.00095931     0.00144204
     650      250     0.00081842     0.00040456     0.00056660     0.00085598     0.00132671     0.00199454
     650      300     0.00104026     0.00050689     0.00071293     0.00108104     0.00168856     0.00255032
     650      350     0.00138968     0.00066747     0.00094382     0.00143560     0.00224257     0.00338680
     650      400     0.00180329     0.00086355     0.00122581     0.00187280     0.00293419     0.00446612
     650      450     0.00217082     0.00110972     0.00158914     0.00244742     0.00387228     0.00590733
     650      467     0.00309683     0.00147624     0.00211704     0.00325648     0.00516575     0.00786892
     650      483     0.00334554     0.00163130     0.00233789     0.00360053     0.00571108     0.00878013
     650      500     0.00368410     0.00174194     0.00251947     0.00391102     0.00625029     0.00955397
     650      550     0.00485188     0.00232708     0.00339682     0.00537408     0.00875570     0.01390670
     650      565     0.00255838     0.00113734     0.00168410     0.00269507     0.00447717     0.00712065
     700        1     1.45845394     0.62577365     0.97448268     1.80002825     3.62235247     5.45894612
     700       50     0.00039866     0.00020292     0.00028690     0.00043658     0.00069233     0.00106444
     700      100     0.00035518     0.00017489     0.00024716     0.00037613     0.00059054     0.00089742
     700      150     0.00042065     0.00020895     0.00029412     0.00044577     0.00069807     0.00105254
     700      200     0.00052040     0.00026254     0.00036997     0.00055546     0.00086305     0.00129539
     700      250     0.00066581     0.00032903     0.00046391     0.00069626     0.00108218     0.00163235
     700      300     0.00098152     0.00046009     0.00065016     0.00098942     0.00154524     0.00233436
     700      350     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     700      400     0.00128614     0.00059979     0.00085947     0.00132373     0.00209402     0.00319480
     700      450     0.00161829     0.00077746     0.00112594     0.00174633     0.00279042     0.00426747
     700      500     0.00232562     0.00107836     0.00155907     0.00242027     0.00386613     0.00602099
     700      517     0.00262238     0.00124786     0.00177867     0.00275461     0.00440291     0.00676454
     700      533     0.00279892     0.00135530     0.00196256     0.00304735     0.00486637     0.00751072
     700      550     0.00290422     0.00141581     0.00204884     0.00317876     0.00508012     0.00787543
     700      600     0.00536379     0.00244002     0.00363611     0.00584223     0.00974945     0.01563421
     700      615     0.00269720     0.00121012     0.00175765     0.00276750     0.00451024     0.00710305
     750        1     0.68220827     0.19117784     0.32627352     0.65229778     1.31282095     1.97832920
     750       50     0.00037181     0.00018894     0.00026716     0.00040653     0.00064142     0.00098049
     750      100     0.00032349     0.00016397     0.00023083     0.00034985     0.00054930     0.00083479
     750      150     0.00041736     0.00020276     0.00028546     0.00043266     0.00067756     0.00102651
     750      200     0.00047764     0.00023882     0.00033654     0.00050527     0.00078507     0.00118409
     750      250     0.00057742     0.00029468     0.00041126     0.00061850     0.00095633     0.00144034
     750      300     0.00075533     0.00036688     0.00051883     0.00078969     0.00123642     0.00186440
     750      350     0.00095214     0.00046090     0.00065259     0.00098331     0.00153606     0.00231968
     750      400     0.00111436     0.00052842     0.00076456     0.00118608     0.00189516     0.00289788
     750      450     0.00122575     0.00060749     0.00087595     0.00136390     0.00217911     0.00337742
     750      500     0.00161047     0.00075966     0.00109390     0.00168974     0.00268059     0.00412064
     750      550     0.00262861     0.00120243     0.00175031     0.00272689     0.00439983     0.00680050
     750      567     0.00282199     0.00130101     0.00189302     0.00294834     0.00475713     0.00742000
     750      583     0.00322107     0.00152577     0.00219346     0.00342451     0.00550060     0.00853649
     750      600     0.00350770     0.00166590     0.00244194     0.00387330     0.00631179     0.00998504
     750      650     0.00661414     0.00287442     0.00413337     0.00645445     0.01052097     0.01671174
     750      665     0.00322653     0.00143018     0.00206700     0.00323980     0.00522720     0.00822554
     800        1     0.31409334     0.08503837     0.14727412     0.30637817     0.61652820     0.92924996
     800       50     0.00041663     0.00021368     0.00030201     0.00045956     0.00072511     0.00110858
     800      100     0.00032776     0.00016196     0.00022894     0.00034844     0.00054696     0.00083127
     800      150     0.00038133     0.00018575     0.00026135     0.00039621     0.00061884     0.00093465
     800      200     0.00042737     0.00020848     0.00029351     0.00044478     0.00069305     0.00104860
     800      250     0.00053786     0.00027047     0.00038318     0.00057719     0.00089687     0.00135959
     800      300     0.00064886     0.00031069     0.00043922     0.00066827     0.00104659     0.00159360
     800      350     0.00077894     0.00037925     0.00053841     0.00082267     0.00129154     0.00196259
     800      400     0.00101843     0.00048368     0.00069066     0.00105905     0.00166681     0.00255238
     800      450     0.00124988     0.00055811     0.00081527     0.00127489     0.00205734     0.00317981
     800      500     0.00132377     0.00063214     0.00091948     0.00143266     0.00231181     0.00357408
     800      550     0.00146958     0.00073272     0.00106941     0.00169174     0.00275564     0.00434113
     800      600     0.00205494     0.00096122     0.00141039     0.00223686     0.00364500     0.00574261
     800      617     0.00269242     0.00124467     0.00180136     0.00279570     0.00451129     0.00703565
     800      633     0.00307078     0.00149216     0.00215317     0.00337758     0.00547775     0.00862384
     800      650     0.00328835     0.00144231     0.00211416     0.00335615     0.00552269     0.00870626
     800      700     0.00463466     0.00200914     0.00302077     0.00489345     0.00821065     0.01331584
     800      715     0.00263968     0.00127365     0.00187829     0.00299238     0.00497424     0.00797222
     850        1     1.23827727     0.27338589     0.52320403     1.27265846     2.56112117     3.85956551
     850       50     0.00040286     0.00020870     0.00029364     0.00044520     0.00070248     0.00107391
     850      100     0.00033266     0.00016693     0.00023492     0.00035605     0.00055758     0.00084895
     850      150     0.00032488     0.00015706     0.00022199     0.00033771     0.00053034     0.00080584
     850      200     0.00041600     0.00020474     0.00028830     0.00043689     0.00068430     0.00103659
     850      250     0.00052823     0.00025483     0.00035928     0.00053909     0.00083791     0.00126992
     850      300     0.00065486     0.00030340     0.00042937     0.00064690     0.00101058     0.00152640
     850      350     0.00066580     0.00031288     0.00044582     0.00067887     0.00106601     0.00162780
     850      400     0.00081250     0.00038507     0.00055222     0.00085022     0.00135169     0.00207479
     850      450     0.00107700     0.00047550     0.00068828     0.00106809     0.00169812     0.00260632
     850      500     0.00114067     0.00051622     0.00076600     0.00122497     0.00201595     0.00315038
     850      550     0.00137451     0.00064754     0.00093712     0.00145294     0.00232169     0.00358358
     850      600     0.00189766     0.00086212     0.00126066     0.00197103     0.00321168     0.00501429
     850      650     0.00233808     0.00100646     0.00148425     0.00236462     0.00389311     0.00616041
     850      667     0.00283966     0.00121927     0.00177926     0.00281186     0.00462686     0.00729377
     850      683     0.00274653     0.00123582     0.00180264     0.00285114     0.00464648     0.00731760
     850      700     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
     850      750     0.00619225     0.00238163     0.00352810     0.00564694     0.00938199     0.01503879
     850      765     0.00298699     0.00120375     0.00177653     0.00283037     0.00470087     0.00747530
     900        1     4.35535332     0.64909417     1.26451776     3.86463563     7.77728302    11.72048336
     900       50     0.00039823     0.00020458     0.00028787     0.00043646     0.00068871     0.00105280
     900      100     0.00030539     0.00015352     0.00021701     0.00033028     0.00051980     0.00079604
     900      150     0.00031928     0.00015717     0.00022121     0.00033540     0.00052385     0.00079890
     900      200     0.00041353     0.00019805     0.00027746     0.00041898     0.00065285     0.00098779
     900      250     0.00049966     0.00024234     0.00033942     0.00051274     0.00079674     0.00120759
     900      300     0.00055948     0.00026847     0.00038036     0.00057284     0.00089037     0.00133608
     900      350     0.00060520     0.00029299     0.00041894     0.00063588     0.00099585     0.00151593
     900      400     0.00081724     0.00038884     0.00055745     0.00085803     0.00135346     0.00206952
     900      450     0.00088844     0.00041024     0.00059649     0.00092921     0.00148442     0.00229081
     900      500     0.00099556     0.00044064     0.00065072     0.00102595     0.00167204     0.00261013
     900      550     0.00130643     0.00058750     0.00085478     0.00133113     0.00213739     0.00331591
     900      600     0.00128431     0.00062975     0.00091053     0.00142691     0.00230289     0.00359251
     900      650     0.00158711     0.00071325     0.00104711     0.00166046     0.00270757     0.00426306
     900      700     0.00205409     0.00090392     0.00132585     0.00210364     0.00344600     0.00545354
     900      717     0.00291728     0.00119637     0.00176126     0.00280834     0.00464223     0.00744250
     900      733     0.00288706     0.00140107     0.00203262     0.00320018     0.00521687     0.00814373
     900      750     0.00294605     0.00148443     0.00214558     0.00336402     0.00548427     0.00863550
     900      800     0.00476322     0.00213589     0.00315280     0.00502028     0.00834320     0.01348067
     900      815     0.00208567     0.00094302     0.00141110     0.00227668     0.00383749     0.00622431
     950       50     0.00038644     0.00020405     0.00028718     0.00043543     0.00068533     0.00104960
     950      100     0.00029913     0.00015289     0.00021608     0.00032885     0.00051895     0.00079334
     950      150     0.00031074     0.00015391     0.00021752     0.00033104     0.00051979     0.00078984
     950      200     0.00036821     0.00018215     0.00025514     0.00038536     0.00060028     0.00090837
     950      250     0.00045073     0.00021968     0.00030781     0.00046467     0.00072216     0.00108397
     950      300     0.00053143     0.00025561     0.00035645     0.00053634     0.00083354     0.00125100
     950      350     0.00060328     0.00028931     0.00040892     0.00062243     0.00097233     0.00148275
     950      400     0.00065344     0.00031625     0.00045126     0.00069169     0.00109140     0.00166869
     950      450     0.00072017     0.00035358     0.00051162     0.00079369     0.00126830     0.00195697
     950      500     0.00087173     0.00044333     0.00064130     0.00099506     0.00159028     0.00247629
     950      550     0.00111176     0.00052788     0.00077183     0.00120693     0.00194757     0.00301054
     950      600     0.00121599     0.00052774     0.00077817     0.00123952     0.00202946     0.00318410
     950      650     0.00121990     0.00055362     0.00081650     0.00130106     0.00214179     0.00340409
     950      700     0.00169127     0.00079050     0.00118497     0.00191024     0.00317598     0.00504895
     950      750     0.00214614     0.00094243     0.00136833     0.00215369     0.00350994     0.00552770
     950      767     0.00263801     0.00127887     0.00186571     0.00294527     0.00487188     0.00777840
     950      783     0.00348162     0.00164689     0.00238026     0.00373123     0.00602143     0.00947474
     950      800     0.00302105     0.00135592     0.00200268     0.00324230     0.00541235     0.00870855
     950      850     0.00420436     0.00180854     0.00274586     0.00453884     0.00783310     0.01300979
     950      865     0.00251222     0.00111787     0.00165416     0.00267669     0.00449054     0.00725542
    1000       50     0.00042746     0.00021630     0.00030582     0.00046538     0.00073433     0.00112270
    1000      100     0.00028417     0.00014243     0.00020039     0.00030381     0.00047822     0.00073240
    1000      150     0.00029696     0.00014592     0.00020628     0.00031384     0.00049270     0.00074879
    1000      200     0.00035063     0.00017141     0.00024278     0.00036576     0.00057134     0.00086292
    1000      250     0.00043245     0.00021052     0.00029818     0.00044912     0.00069807     0.00105798
    1000      300     0.00047019     0.00023481     0.00033105     0.00049677     0.00077012     0.00115774
    1000      350     0.00055289     0.00026996     0.00038218     0.00057565     0.00089705     0.00135707
    1000      400     0.00064974     0.00030818     0.00043835     0.00066281     0.00103803     0.00157234
    1000      450     0.00069749     0.00034723     0.00050021     0.00077285     0.00123481     0.00190580
    1000      500     0.00085416     0.00038870     0.00056400     0.00088791     0.00143285     0.00221461
    1000      550     0.00098703     0.00046220     0.00067626     0.00105697     0.00169735     0.00263390
    1000      600     0.00115812     0.00051738     0.00076686     0.00122717     0.00201981     0.00318345
    1000      650     0.00099770     0.00046128     0.00069715     0.00114702     0.00194309     0.00313767
    1000      700     0.00168782     0.00074556     0.00110406     0.00176555     0.00290609     0.00460025
    1000      750     0.00184588     0.00081189     0.00120197     0.00192240     0.00316543     0.00502997
    1000      800     0.00273200     0.00125543     0.00182210     0.00286791     0.00467388     0.00732987
    1000      817     0.00258521     0.00126046     0.00182985     0.00288138     0.00471812     0.00746634
    1000      833     0.00317517     0.00147438     0.00215083     0.00339605     0.00556345     0.00884078
    1000      850     0.00302818     0.00136352     0.00198747     0.00317513     0.00527823     0.00846059
    1000      900     0.00549581     0.00250846     0.00364867     0.00583331     0.00965074     0.01552966
    1000      915     0.00270926     0.00112566     0.00165110     0.00261986     0.00431109     0.00690724
    1050        1    10.19831136     1.46632226     2.90485364     8.83184786    17.77391717    26.78522818
    1050       50     0.00041621     0.00022174     0.00031212     0.00047310     0.00074273     0.00113957
    1050      100     0.00029723     0.00015108     0.00021350     0.00032488     0.00051275     0.00078375
    1050      150     0.00027592     0.00013516     0.00019192     0.00029320     0.00046147     0.00070678
    1050      200     0.00033056     0.00016405     0.00023096     0.00035006     0.00054820     0.00083462
    1050      250     0.00042467     0.00020375     0.00028533     0.00043091     0.00066800     0.00100428
    1050      300     0.00044423     0.00021870     0.00030652     0.00046285     0.00071931     0.00109036
    1050      350     0.00050774     0.00024868     0.00035002     0.00053053     0.00082887     0.00125175
    1050      400     0.00059392     0.00028930     0.00040880     0.00062208     0.00097181     0.00146784
    1050      450     0.00066852     0.00032285     0.00045837     0.00070043     0.00110230     0.00168799
    1050      500     0.00075402     0.00036005     0.00051865     0.00080152     0.00127395     0.00195545
    1050      550     0.00094507     0.00044052     0.00064413     0.00100654     0.00160841     0.00250546
    1050      600     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1050      650     0.00097562     0.00046097     0.00067962     0.00108297     0.00177365     0.00280689
    1050      700     0.00115020     0.00051561     0.00076397     0.00122197     0.00202087     0.00319940
    1050      750     0.00142523     0.00064222     0.00095111     0.00152293     0.00250564     0.00396535
    1050      800     0.00168172     0.00084192     0.00122346     0.00192470     0.00313750     0.00490022
    1050      850     0.00196476     0.00097395     0.00143352     0.00228519     0.00379671     0.00603763
    1050      867     0.00255256     0.00111179     0.00164968     0.00263900     0.00438473     0.00699972
    1050      883     0.00339236     0.00150355     0.00218309     0.00343516     0.00562628     0.00890360
    1050      900     0.00320058     0.00148916     0.00219762     0.00350063     0.00581494     0.00932391
    1050      950     0.00512853     0.00238654     0.00357558     0.00576325     0.00966889     0.01574950
    1050      965     0.00287894     0.00120722     0.00178784     0.00285958     0.00475145     0.00767636
    1100       50     0.00046021     0.00023354     0.00033012     0.00050240     0.00079271     0.00122334
    1100      100     0.00029024     0.00014363     0.00020400     0.00031160     0.00049174     0.00075879
    1100      150     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1100      200     0.00034391     0.00016989     0.00023798     0.00035944     0.00056004     0.00084736
    1100      250     0.00037284     0.00018284     0.00025611     0.00038689     0.00060126     0.00091130
    1100      300     0.00043300     0.00021026     0.00029732     0.00045238     0.00071027     0.00107921
    1100      350     0.00050897     0.00025427     0.00035628     0.00053787     0.00083383     0.00125357
    1100      400     0.00056979     0.00027148     0.00038443     0.00057907     0.00090460     0.00136628
    1100      450     0.00058953     0.00029256     0.00041935     0.00064546     0.00103159     0.00157738
    1100      500     0.00064631     0.00031704     0.00045476     0.00069979     0.00110981     0.00170648
    1100      550     0.00079344     0.00039305     0.00056386     0.00086783     0.00137613     0.00209610
    1100      600     0.00080668     0.00036656     0.00054049     0.00086154     0.00141075     0.00221369
    1100      650     0.00098931     0.00042347     0.00063009     0.00101268     0.00166613     0.00262624
    1100      700     0.00100055     0.00042367     0.00064098     0.00104198     0.00174783     0.00280232
    1100      750     0.00115211     0.00055922     0.00083702     0.00135054     0.00224409     0.00359824
    1100      800     0.00135581     0.00067514     0.00100025     0.00160068     0.00264797     0.00419193
    1100      850     0.00195321     0.00093055     0.00137420     0.00216564     0.00353044     0.00556073
    1100      900     0.00255864     0.00118023     0.00172168     0.00272143     0.00447850     0.00711853
    1100      917     0.00246076     0.00113594     0.00169226     0.00271693     0.00451270     0.00729432
    1100      933     0.00244197     0.00129401     0.00189574     0.00300865     0.00497742     0.00797731
    1100      950     0.00350893     0.00158389     0.00230138     0.00362264     0.00590236     0.00929757
    1100     1000     0.00395255     0.00194798     0.00288560     0.00461939     0.00767474     0.01230221
    1100     1015     0.00251154     0.00113221     0.00169453     0.00273344     0.00460701     0.00750184
    1150        1     0.96042478     0.19596506     0.38801083     0.96454005     1.94103396     2.92517051
    1150       50     0.00042573     0.00022242     0.00031297     0.00047431     0.00074853     0.00114964
    1150      100     0.00027675     0.00014240     0.00020134     0.00030635     0.00048336     0.00073891
    1150      150     0.00028112     0.00013775     0.00019391     0.00029394     0.00046257     0.00070843
    1150      200     0.00030697     0.00015157     0.00021342     0.00032342     0.00050525     0.00077055
    1150      250     0.00037828     0.00018589     0.00026327     0.00039653     0.00061778     0.00093467
    1150      300     0.00045572     0.00021963     0.00030632     0.00046073     0.00071610     0.00107478
    1150      350     0.00046960     0.00022973     0.00032188     0.00048626     0.00075564     0.00113961
    1150      400     0.00057336     0.00028083     0.00039340     0.00059419     0.00092346     0.00138589
    1150      450     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1150      500     0.00065823     0.00033039     0.00047152     0.00072278     0.00114069     0.00174385
    1150      550     0.00068200     0.00032370     0.00046546     0.00072665     0.00116122     0.00179188
    1150      600     0.00078163     0.00037495     0.00054949     0.00087213     0.00142162     0.00223910
    1150      650     0.00075522     0.00035969     0.00053891     0.00086894     0.00144431     0.00229656
    1150      700     0.00089332     0.00042468     0.00063658     0.00102609     0.00168905     0.00268437
    1150      750     0.00094009     0.00042210     0.00063770     0.00104929     0.00177729     0.00288188
    1150      800     0.00108554     0.00051947     0.00078020     0.00127786     0.00216413     0.00349552
    1150      850     0.00144158     0.00066021     0.00098147     0.00159540     0.00265038     0.00421447
    1150      900     0.00143337     0.00070087     0.00103627     0.00167702     0.00278606     0.00450105
    1150      950     0.00254285     0.00118904     0.00173902     0.00271875     0.00442883     0.00691601
    1150      967     0.00305384     0.00122490     0.00180837     0.00290423     0.00482480     0.00779823
    1150      983     0.00339786     0.00157907     0.00234914     0.00377540     0.00633128     0.01023253
    1150     1000     0.00315946     0.00141130     0.00204980     0.00322551     0.00525549     0.00838413
    1150     1050     0.00494245     0.00241463     0.00352134     0.00556707     0.00916387     0.01480639
    1150     1065     0.00206366     0.00095377     0.00140115     0.00224070     0.00374085     0.00606913
    1200        1     0.31945520     0.09892968     0.16968318     0.33748795     0.67923363     1.02360908
    1200       50     0.00049403     0.00025675     0.00036144     0.00054783     0.00086451     0.00133417
    1200      100     0.00029014     0.00014572     0.00020600     0.00031353     0.00049473     0.00075623
    1200      150     0.00028507     0.00013996     0.00019692     0.00029848     0.00046865     0.00071222
    1200      200     0.00029721     0.00014593     0.00020631     0.00031390     0.00049407     0.00075666
    1200      250     0.00031768     0.00015568     0.00021909     0.00033200     0.00051998     0.00079168
    1200      300     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1200      350     0.00048614     0.00023058     0.00032302     0.00048784     0.00076005     0.00115001
    1200      400     0.00052399     0.00025593     0.00035701     0.00053693     0.00083228     0.00125135
    1200      450     0.00054042     0.00025883     0.00036941     0.00056644     0.00089384     0.00136623
    1200      500     0.00064005     0.00030398     0.00043383     0.00066541     0.00104974     0.00160486
    1200      550     0.00064624     0.00029619     0.00043408     0.00068895     0.00111235     0.00173446
    1200      600     0.00075237     0.00035323     0.00051608     0.00080698     0.00129599     0.00200149
    1200      650     0.00079011     0.00036328     0.00053294     0.00084587     0.00137880     0.00216232
    1200      700     0.00092339     0.00041598     0.00061635     0.00098586     0.00161441     0.00253322
    1200      750     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1200      800     0.00110299     0.00050827     0.00075623     0.00121509     0.00201977     0.00321111
    1200      850     0.00095331     0.00044226     0.00066459     0.00108926     0.00185383     0.00301667
    1200      900     0.00114002     0.00052975     0.00079600     0.00130472     0.00219862     0.00356647
    1200      950     0.00153956     0.00070471     0.00106817     0.00173637     0.00291247     0.00470599
    1200     1000     0.00188518     0.00093856     0.00138166     0.00220340     0.00365958     0.00586701
    1200     1017     0.00255454     0.00127952     0.00185846     0.00292624     0.00476893     0.00754199
    1200     1033     0.00286308     0.00129179     0.00189306     0.00300400     0.00494404     0.00792455
    1200     1050     0.00354767     0.00161174     0.00236358     0.00375000     0.00620095     0.00998084
    1200     1100     0.00411241     0.00180070     0.00272133     0.00447741     0.00772192     0.01282795
    1200     1115     0.00280703     0.00119264     0.00176670     0.00282578     0.00469557     0.00749791
    1250        1   142.77169004    21.92739267    47.56735976   155.90492205   313.73574209   472.81955599
    1250       50     0.00046799     0.00025207     0.00035486     0.00053793     0.00084444     0.00129553
    1250      100     0.00028781     0.00014952     0.00021045     0.00031908     0.00050216     0.00076903
    1250      150     0.00027844     0.00013547     0.00019147     0.00029135     0.00045971     0.00070282
    1250      200     0.00031769     0.00015407     0.00021682     0.00032874     0.00051477     0.00078362
    1250      250     0.00032931     0.00015899     0.00022377     0.00033918     0.00053113     0.00080855
    1250      300     0.00037866     0.00018324     0.00025829     0.00038757     0.00060225     0.00090848
    1250      350     0.00040791     0.00020190     0.00028275     0.00042698     0.00066366     0.00100084
    1250      400     0.00045350     0.00022731     0.00032199     0.00048494     0.00075372     0.00114249
    1250      450     0.00052592     0.00024555     0.00034860     0.00053265     0.00083623     0.00127070
    1250      500     0.00061837     0.00028369     0.00040475     0.00062047     0.00097659     0.00148854
    1250      550     0.00066854     0.00030881     0.00044956     0.00069998     0.00111847     0.00172637
    1250      600     0.00067283     0.00032570     0.00046917     0.00072478     0.00115808     0.00177072
    1250      650     0.00074214     0.00035212     0.00051756     0.00081238     0.00132392     0.00204896
    1250      700     0.00085520     0.00039150     0.00058029     0.00092807     0.00152757     0.00240795
    1250      750     0.00089213     0.00039550     0.00058944     0.00094685     0.00156607     0.00247968
    1250      800     0.00085495     0.00041841     0.00062486     0.00101963     0.00171068     0.00276341
    1250      850     0.00101077     0.00045944     0.00069034     0.00113094     0.00191552     0.00309437
    1250      900     0.00124966     0.00056686     0.00084710     0.00138202     0.00231766     0.00374532
    1250      950     0.00139455     0.00064605     0.00096268     0.00154587     0.00258189     0.00412194
    1250     1000     0.00168394     0.00077623     0.00114216     0.00184077     0.00305897     0.00490449
    1250     1050     0.00184592     0.00092377     0.00136699     0.00221121     0.00372756     0.00607027
    1250     1067     0.00268705     0.00116916     0.00173080     0.00276964     0.00460139     0.00737654
    1250     1083     0.00239648     0.00111918     0.00165036     0.00262871     0.00432848     0.00687814
    1250     1100     0.00266336     0.00132223     0.00194557     0.00313558     0.00526060     0.00850007
    1250     1150     0.00340195     0.00181642     0.00270309     0.00439021     0.00743503     0.01214542
    1250     1165     0.00208534     0.00105596     0.00154407     0.00247679     0.00411752     0.00659914
    1300        1    17.66177875     2.52463551     5.03695972    15.38911434    30.97028484    46.67210598
    1300       50     0.00050114     0.00026289     0.00037009     0.00056094     0.00088520     0.00136609
    1300      100     0.00029578     0.00014770     0.00020879     0.00031779     0.00050267     0.00077426
    1300      150     0.00027129     0.00013294     0.00018801     0.00028608     0.00045138     0.00069004
    1300      200     0.00028955     0.00014420     0.00020299     0.00030771     0.00048188     0.00073368
