# Contour T5btbtLL_ctau200, Obs
#       mg     mchi10
    1000.0       81.7
    1025.0       90.4
    1050.0       96.7
    1067.3      100.0
    1075.0      103.1
    1100.0      111.5
    1125.0      117.7
    1150.0      122.5
    1167.7      125.0
    1175.0      127.5
    1200.0      134.4
    1225.0      140.0
    1250.0      144.6
    1275.0      148.2
    1292.6      150.0
    1300.0      151.9
    1325.0      155.9
    1350.0      157.9
    1375.0      158.4
    1400.0      157.8
    1425.0      156.4
    1450.0      153.5
    1468.8      150.0
    1475.0      149.3
    1500.0      145.2
    1525.0      138.1
    1550.0      127.0
    1554.9      125.0
    1575.0      118.6
    1600.0      110.3
    1625.0      104.4
    1650.0      102.2
    1675.0      104.1
    1700.0      109.2
    1725.0      116.3
    1750.0      123.4
    1756.2      125.0
    1775.0      133.8
    1800.0      144.0
    1817.7      150.0
    1825.0      154.3
    1850.0      166.8
    1868.9      175.0
    1875.0      179.2
    1900.0      194.8
    1909.6      200.0
    1925.0      212.3
    1942.4      225.0
    1950.0      232.9
    1969.3      250.0
    1975.0      256.9
    1991.9      275.0
    2000.0      286.6
    2010.6      300.0
    2025.0      323.5
    2026.1      325.0
    2040.4      350.0
    2050.0      369.8
    2052.9      375.0
    2065.4      400.0
    2075.0      421.0
    2077.1      425.0
    2088.8      450.0
    2099.4      475.0
    2100.0      476.7
    2110.0      500.0
    2119.8      525.0
    2125.0      539.7
    2129.1      550.0
    2138.3      575.0
    2147.0      600.0
    2150.0      609.3
    2155.8      625.0
    2164.6      650.0
    2172.8      675.0
    2175.0      682.0
    2181.3      700.0
    2189.3      725.0
    2196.7      750.0
    2200.0      762.3
    2203.9      775.0
    2211.1      800.0
    2217.7      825.0
    2223.9      850.0
    2225.0      854.7
    2230.2      875.0
    2236.2      900.0
    2241.6      925.0
    2246.7      950.0
    2250.0      967.9
    2251.5      975.0
    2256.4     1000.0
    2261.0     1025.0
    2265.2     1050.0
    2269.0     1075.0
    2272.5     1100.0
    2275.0     1119.9
    2275.7     1125.0
    2278.9     1150.0
    2281.6     1175.0
    2283.9     1200.0
    2285.9     1225.0
    2287.6     1250.0
    2289.1     1275.0
    2290.4     1300.0
    2291.8     1325.0
    2293.1     1350.0
    2294.2     1375.0
    2295.2     1400.0
    2295.9     1425.0
    2296.3     1450.0
    2296.5     1475.0
    2296.4     1500.0
    2295.9     1525.0
    2295.0     1550.0
    2293.5     1575.0
    2291.1     1600.0
    2287.7     1625.0
    2283.1     1650.0
    2277.0     1675.0
    2275.0     1681.5
    2269.7     1700.0
    2260.2     1725.0
    2250.0     1744.8
    2247.4     1750.0
    2230.9     1775.0
    2225.0     1781.5
    2207.1     1800.0
    2200.0     1805.4
    2175.0     1822.4
    2171.0     1825.0
    2150.0     1835.7
    2125.0     1848.4
    2122.2     1850.0
    2100.0     1861.5
    2080.4     1875.0
    2075.0     1878.8
    2054.5     1900.0
    2050.0     1905.2
    2037.7     1925.0
    2025.0     1948.0
    2024.1     1950.0
    2000.0     1975.0
    1975.0     1950.0
    1950.0     1925.0
    1925.0     1900.0
    1900.0     1875.0
    1875.0     1850.0
    1850.0     1825.0
    1825.0     1800.0
    1800.0     1775.0
    1775.0     1750.0
    1750.0     1725.0
    1725.0     1700.0
    1700.0     1675.0
    1675.0     1650.0
    1650.0     1625.0
    1625.0     1600.0
    1600.0     1575.0
    1575.0     1550.0
    1550.0     1525.0
    1525.0     1500.0
    1500.0     1475.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
