# Contour T5btbtLL_ctau200, ExpMinus2
#       mg     mchi10
    1000.0      110.3
    1025.0      116.3
    1050.0      121.0
    1075.0      124.9
    1075.9      125.0
    1100.0      131.5
    1125.0      136.3
    1150.0      140.0
    1175.0      142.8
    1200.0      144.9
    1225.0      146.7
    1250.0      148.3
    1275.0      149.7
    1285.2      150.0
    1300.0      151.1
    1325.0      151.9
    1350.0      151.8
    1375.0      151.5
    1400.0      151.5
    1425.0      152.3
    1450.0      153.3
    1475.0      154.5
    1500.0      155.3
    1525.0      155.3
    1550.0      154.7
    1575.0      154.9
    1600.0      156.4
    1625.0      160.9
    1650.0      167.6
    1672.4      175.0
    1675.0      176.5
    1700.0      190.8
    1716.7      200.0
    1725.0      206.9
    1748.8      225.0
    1750.0      226.3
    1775.0      249.9
    1775.1      250.0
    1797.1      275.0
    1800.0      279.5
    1815.5      300.0
    1825.0      316.8
    1830.4      325.0
    1843.1      350.0
    1850.0      366.5
    1854.0      375.0
    1864.2      400.0
    1873.3      425.0
    1875.0      430.1
    1882.2      450.0
    1890.4      475.0
    1897.9      500.0
    1900.0      507.9
    1905.4      525.0
    1912.6      550.0
    1919.3      575.0
    1925.0      597.7
    1925.6      600.0
    1932.2      625.0
    1938.6      650.0
    1944.7      675.0
    1950.0      698.0
    1950.5      700.0
    1956.8      725.0
    1962.6      750.0
    1968.0      775.0
    1972.9      800.0
    1975.0      811.2
    1977.9      825.0
    1982.7      850.0
    1987.2      875.0
    1991.3      900.0
    1995.1      925.0
    1998.5      950.0
    2000.0      962.0
    2001.8      975.0
    2004.9     1000.0
    2007.7     1025.0
    2010.3     1050.0
    2012.5     1075.0
    2014.5     1100.0
    2016.3     1125.0
    2017.8     1150.0
    2019.0     1175.0
    2019.9     1200.0
    2020.4     1225.0
    2020.6     1250.0
    2020.3     1275.0
    2019.8     1300.0
    2018.9     1325.0
    2017.6     1350.0
    2015.5     1375.0
    2012.5     1400.0
    2008.1     1425.0
    2001.9     1450.0
    2000.0     1455.9
    1993.9     1475.0
    1982.5     1500.0
    1975.0     1511.7
    1966.7     1525.0
    1950.0     1544.4
    1945.6     1550.0
    1925.0     1569.9
    1919.6     1575.0
    1900.0     1589.7
    1888.6     1600.0
    1875.0     1610.2
    1858.0     1625.0
    1850.0     1631.3
    1831.5     1650.0
    1825.0     1656.4
    1810.6     1675.0
    1800.0     1689.1
    1793.6     1700.0
    1779.6     1725.0
    1775.0     1750.0
    1750.0     1725.0
    1725.0     1700.0
    1700.0     1675.0
    1675.0     1650.0
    1650.0     1625.0
    1625.0     1600.0
    1600.0     1575.0
    1575.0     1550.0
    1550.0     1525.0
    1525.0     1500.0
    1500.0     1475.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
