# Contour T5btbtLL_ctau10, ObsMinus
#       mg     mchi10
    1304.4        0.0
    1325.0       14.1
    1345.4       25.0
    1350.0       27.7
    1375.0       38.1
    1400.0       43.8
    1425.0       45.7
    1450.0       44.7
    1475.0       42.0
    1500.0       38.2
    1525.0       33.7
    1550.0       29.3
    1575.0       25.3
    1577.6       25.0
    1600.0       22.8
    1625.0       20.9
    1650.0       19.5
    1675.0       19.7
    1700.0       22.5
    1712.0       25.0
    1725.0       29.5
    1750.0       39.2
    1775.0       46.9
    1788.7       50.0
    1800.0       54.7
    1825.0       62.9
    1850.0       69.5
    1872.7       75.0
    1875.0       76.1
    1900.0       88.0
    1925.0       98.6
    1929.0      100.0
    1950.0      113.1
    1975.0      123.9
    1978.5      125.0
    2000.0      138.2
    2023.7      150.0
    2025.0      151.2
    2050.0      171.0
    2055.9      175.0
    2074.7      200.0
    2075.0      200.9
    2084.9      225.0
    2088.2      250.0
    2086.7      275.0
    2081.3      300.0
    2075.0      317.9
    2072.8      325.0
    2062.7      350.0
    2050.6      375.0
    2050.0      376.2
    2039.0      400.0
    2027.3      425.0
    2025.0      430.0
    2017.2      450.0
    2007.3      475.0
    2000.0      492.6
    1997.3      500.0
    1987.8      525.0
    1977.9      550.0
    1975.0      557.2
    1968.9      575.0
    1960.7      600.0
    1953.1      625.0
    1950.0      635.6
    1946.5      650.0
    1940.7      675.0
    1934.9      700.0
    1929.2      725.0
    1925.0      743.0
    1923.5      750.0
    1918.3      775.0
    1913.1      800.0
    1907.9      825.0
    1902.7      850.0
    1900.0      863.5
    1898.1      875.0
    1894.0      900.0
    1890.1      925.0
    1886.1      950.0
    1881.6      975.0
    1876.1     1000.0
    1875.0     1004.3
    1870.0     1025.0
    1862.3     1050.0
    1852.4     1075.0
    1850.0     1079.9
    1841.0     1100.0
    1826.4     1125.0
    1825.0     1126.9
    1810.2     1150.0
    1800.0     1162.7
    1791.1     1175.0
    1775.0     1192.8
    1768.7     1200.0
    1750.0     1216.7
    1740.8     1225.0
    1725.0     1235.7
    1700.5     1250.0
    1700.0     1250.2
    1675.0     1260.6
    1650.0     1269.0
    1630.6     1275.0
    1625.0     1276.3
    1600.0     1283.5
    1575.0     1291.5
    1556.8     1300.0
    1550.0     1302.7
    1525.0     1315.5
    1511.3     1325.0
    1500.0     1332.5
    1481.1     1350.0
    1475.0     1355.6
    1458.7     1375.0
    1450.0     1385.5
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
