# Contour T6btLL_ctau10, ExpPlus
#    mstop     mchi10
     879.4        0.0
     900.0        3.5
     925.0        5.6
     950.0        8.3
     975.0       12.6
    1000.0       18.1
    1025.0       23.4
    1034.4       25.0
    1050.0       31.0
    1075.0       37.8
    1100.0       43.0
    1125.0       47.5
    1141.7       50.0
    1150.0       53.5
    1175.0       62.7
    1200.0       69.3
    1225.0       73.6
    1237.1       75.0
    1250.0       79.8
    1275.0       85.7
    1300.0       89.6
    1325.0       92.7
    1350.0       95.6
    1375.0       98.7
    1386.3      100.0
    1400.0      104.9
    1425.0      112.6
    1450.0      119.1
    1475.0      124.6
    1477.4      125.0
    1500.0      136.1
    1525.0      147.5
    1530.6      150.0
    1550.0      173.7
    1551.1      175.0
    1557.4      200.0
    1554.9      225.0
    1550.0      241.3
    1547.8      250.0
    1538.6      275.0
    1527.7      300.0
    1525.0      305.7
    1516.8      325.0
    1505.8      350.0
    1500.0      362.8
    1495.4      375.0
    1486.0      400.0
    1476.4      425.0
    1475.0      428.6
    1468.1      450.0
    1460.0      475.0
    1452.0      500.0
    1450.0      506.4
    1445.1      525.0
    1438.7      550.0
    1432.3      575.0
    1425.7      600.0
    1425.0      602.7
    1420.0      625.0
    1414.2      650.0
    1408.3      675.0
    1402.2      700.0
    1400.0      708.8
    1396.6      725.0
    1391.2      750.0
    1385.5      775.0
    1379.4      800.0
    1375.0      817.3
    1373.3      825.0
    1367.6      850.0
    1360.9      875.0
    1352.1      900.0
    1350.0      904.4
    1340.0      925.0
    1325.0      944.5
    1320.5      950.0
    1300.0      965.5
    1282.7      975.0
    1275.0      977.8
    1250.0      984.8
    1225.0      991.2
    1200.0      998.5
    1197.0     1000.0
    1175.0     1013.7
    1167.0     1025.0
    1157.6     1050.0
    1153.8     1075.0
    1151.3     1100.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
