      mg     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1800     1400     0.00520316     0.00229510     0.00343046     0.00559322     0.00951822     0.01566519
    1800     1500     0.00687637     0.00290523     0.00429172     0.00688839     0.01155278     0.01896210
    1800     1600     0.01438621     0.00626249     0.00951417     0.01603942     0.02844397     0.04861094
    1900       25     0.00205779     0.00109436     0.00154050     0.00233458     0.00366589     0.00562406
    1900       50     0.00101386     0.00053621     0.00075481     0.00114390     0.00179133     0.00272744
    1900       75     0.00073569     0.00038847     0.00054667     0.00082863     0.00129750     0.00197549
    1900      150     0.00059420     0.00031184     0.00043894     0.00066539     0.00104187     0.00158628
    1900      900     0.00155761     0.00075611     0.00114519     0.00186239     0.00313857     0.00505025
    1900     1000     0.00153056     0.00075633     0.00114881     0.00189918     0.00324602     0.00532056
    1900     1100     0.00166280     0.00083609     0.00127691     0.00211970     0.00365789     0.00603216
    1900     1200     0.00227499     0.00108649     0.00164751     0.00275410     0.00479726     0.00801192
    1900     1300     0.00270230     0.00127295     0.00194605     0.00322890     0.00562236     0.00939171
    1900     1400     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1900     1500     0.00470764     0.00208718     0.00313607     0.00513850     0.00878312     0.01461028
    1900     1600     0.01019634     0.00424056     0.00621582     0.00986630     0.01647217     0.02671851
    1900     1700     0.01638698     0.00781460     0.01166664     0.01903920     0.03225298     0.05369181
    2000        1     5.62658958     1.12032357     1.78321005     3.41431944     6.87063683    10.35419612
    2000       25     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    2000       50     0.00095011     0.00051266     0.00072143     0.00109345     0.00171674     0.00263413
    2000       75     0.00072849     0.00039330     0.00055077     0.00083181     0.00129925     0.00198174
    2000      150     0.00057969     0.00030415     0.00043091     0.00064901     0.00101654     0.00154737
    2000      200     0.00064691     0.00034058     0.00047498     0.00071470     0.00111345     0.00168483
    2000      400     0.00086286     0.00046306     0.00064998     0.00097160     0.00149862     0.00225522
    2000      600     0.00113293     0.00058106     0.00083311     0.00128284     0.00203437     0.00312750
    2000      800     0.00131623     0.00066506     0.00099238     0.00157531     0.00258041     0.00404816
    2000     1000     0.00141955     0.00067820     0.00103017     0.00170136     0.00290810     0.00476731
    2000     1100     0.00153388     0.00073162     0.00112475     0.00187370     0.00323300     0.00533325
    2000     1200     0.00171817     0.00085538     0.00128863     0.00214524     0.00370171     0.00619380
    2000     1300     0.00220888     0.00108025     0.00163812     0.00273933     0.00477085     0.00796969
    2000     1400     0.00258360     0.00122150     0.00185246     0.00309856     0.00539568     0.00901097
    2000     1500     0.00314044     0.00145173     0.00221046     0.00371397     0.00646808     0.01088103
    2000     1600     0.00459543     0.00196729     0.00297226     0.00489083     0.00844170     0.01402078
    2000     1700     0.00943242     0.00389217     0.00566982     0.00905927     0.01520071     0.02475233
    2000     1800     0.01655945     0.00716844     0.01077097     0.01764632     0.03045670     0.05149795
    2100       25     0.00220287     0.00116254     0.00164626     0.00248044     0.00389478     0.00597543
    2100       50     0.00102644     0.00055800     0.00078651     0.00118050     0.00184870     0.00281469
