# Contour T5btbtLL_ctau200, ExpPlus2
#       mg     mchi10
    1000.0       14.3
    1018.3       25.0
    1025.0       29.2
    1050.0       38.9
    1075.0       45.7
    1094.9       50.0
    1100.0       51.8
    1125.0       58.7
    1150.0       64.3
    1175.0       68.3
    1200.0       70.5
    1225.0       71.2
    1250.0       70.7
    1275.0       69.3
    1300.0       67.1
    1325.0       64.7
    1350.0       62.3
    1375.0       60.3
    1400.0       58.9
    1425.0       58.3
    1450.0       58.0
    1475.0       58.4
    1500.0       59.1
    1525.0       59.6
    1550.0       60.0
    1575.0       60.6
    1600.0       61.3
    1625.0       63.3
    1650.0       66.1
    1675.0       69.7
    1700.0       74.3
    1703.3       75.0
    1725.0       83.5
    1750.0       92.2
    1775.0       99.0
    1779.7      100.0
    1800.0      108.3
    1825.0      116.7
    1850.0      123.7
    1855.6      125.0
    1875.0      133.5
    1900.0      143.7
    1917.2      150.0
    1925.0      154.7
    1950.0      168.4
    1964.1      175.0
    1975.0      182.8
    2000.0      198.6
    2002.5      200.0
    2025.0      218.8
    2033.5      225.0
    2050.0      241.5
    2059.7      250.0
    2075.0      267.6
    2082.5      275.0
    2100.0      297.3
    2102.5      300.0
    2120.6      325.0
    2125.0      332.3
    2137.1      350.0
    2150.0      372.1
    2151.9      375.0
    2166.4      400.0
    2175.0      416.4
    2180.1      425.0
    2193.8      450.0
    2200.0      462.6
    2207.0      475.0
    2219.6      500.0
    2225.0      511.7
    2231.9      525.0
    2243.6      550.0
    2250.0      565.1
    2254.9      575.0
    2266.2      600.0
    2275.0      621.1
    2276.8      625.0
    2287.7      650.0
    2297.7      675.0
    2300.0      681.2
    2307.7      700.0
    2317.0      725.0
    2325.0      748.2
    2325.7      750.0
    2334.9      775.0
    2343.4      800.0
    2350.0      821.0
    2351.4      825.0
    2359.3      850.0
    2366.5      875.0
    2373.2      900.0
    2375.0      907.2
    2380.1      925.0
    2386.7      950.0
    2392.7      975.0
    2398.3     1000.0
    2400.0     1008.1
    2404.0     1025.0
    2409.3     1050.0
    2414.3     1075.0
    2418.7     1100.0
    2422.7     1125.0
    2425.0     1141.0
    2426.4     1150.0
    2429.8     1175.0
    2432.8     1200.0
    2435.3     1225.0
    2437.5     1250.0
    2439.4     1275.0
    2441.1     1300.0
    2442.5     1325.0
    2443.6     1350.0
    2444.6     1375.0
    2445.5     1400.0
    2446.3     1425.0
    2447.0     1450.0
    2447.6     1475.0
    2448.1     1500.0
    2448.4     1525.0
    2448.6     1550.0
    2448.6     1575.0
    2448.3     1600.0
    2447.9     1625.0
    2447.1     1650.0
    2446.0     1675.0
    2444.5     1700.0
    2442.4     1725.0
    2439.7     1750.0
    2436.3     1775.0
    2431.7     1800.0
    2425.6     1825.0
    2425.0     1827.1
    2418.0     1850.0
    2407.9     1875.0
    2400.0     1889.9
    2394.7     1900.0
    2376.5     1925.0
    2375.0     1926.6
    2352.3     1950.0
    2350.0     1951.7
    2325.0     1968.1
    2314.4     1975.0
    2300.0     1982.3
    2275.0     1993.7
    2262.1     2000.0
    2250.0     2005.2
    2225.0     2020.3
    2219.5     2025.0
    2200.0     2043.2
    2195.0     2050.0
    2178.6     2075.0
    2175.0     2081.3
    2166.8     2100.0
    2150.0     2125.0
    2125.0     2100.0
    2100.0     2075.0
    2075.0     2050.0
    2050.0     2025.0
    2025.0     2000.0
    2000.0     1975.0
    1975.0     1950.0
    1950.0     1925.0
    1925.0     1900.0
    1900.0     1875.0
    1875.0     1850.0
    1850.0     1825.0
    1825.0     1800.0
    1800.0     1775.0
    1775.0     1750.0
    1750.0     1725.0
    1725.0     1700.0
    1700.0     1675.0
    1675.0     1650.0
    1650.0     1625.0
    1625.0     1600.0
    1600.0     1575.0
    1575.0     1550.0
    1550.0     1525.0
    1525.0     1500.0
    1500.0     1475.0
    1475.0     1450.0
    1450.0     1425.0
    1425.0     1400.0
    1400.0     1375.0
    1375.0     1350.0
    1350.0     1325.0
    1325.0     1300.0
    1300.0     1275.0
    1275.0     1250.0
    1250.0     1225.0
    1225.0     1200.0
    1200.0     1175.0
    1175.0     1150.0
    1150.0     1125.0
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
    1000.0      975.0
