# Contour T6tbLL_ctau200, ExpMinus
# msbottom     mchi10
     742.5        0.0
     750.0        1.9
     775.0        5.7
     800.0       10.0
     825.0       15.5
     850.0       22.5
     858.3       25.0
     875.0       32.5
     900.0       44.2
     913.7       50.0
     925.0       57.1
     950.0       71.0
     958.6       75.0
     975.0       86.0
    1000.0      100.0
    1000.0      100.0
    1025.0      116.8
    1039.2      125.0
    1050.0      134.1
    1072.6      150.0
    1075.0      152.5
    1100.0      173.6
    1101.9      175.0
    1125.0      197.4
    1128.2      200.0
    1150.0      223.7
    1151.4      225.0
    1172.2      250.0
    1175.0      254.4
    1191.0      275.0
    1200.0      289.6
    1207.7      300.0
    1222.8      325.0
    1225.0      329.3
    1237.3      350.0
    1250.0      375.0
    1250.0      375.0
    1263.0      400.0
    1274.3      425.0
    1275.0      426.7
    1285.6      450.0
    1295.8      475.0
    1300.0      486.5
    1305.7      500.0
    1315.2      525.0
    1323.8      550.0
    1325.0      553.8
    1332.6      575.0
    1340.5      600.0
    1347.4      625.0
    1350.0      635.8
    1353.9      650.0
    1360.0      675.0
    1365.4      700.0
    1370.3      725.0
    1374.7      750.0
    1375.0      752.0
    1379.1      775.0
    1382.8      800.0
    1385.8      825.0
    1388.0      850.0
    1389.3      875.0
    1389.6      900.0
    1388.6      925.0
    1385.4      950.0
    1378.4      975.0
    1375.0      981.5
    1363.2     1000.0
    1350.0     1009.9
    1325.0     1020.1
    1300.0     1023.8
    1275.0     1024.0
    1250.0     1023.3
    1225.0     1024.5
    1222.1     1025.0
    1200.0     1029.1
    1175.0     1043.3
    1168.8     1050.0
    1150.3     1075.0
    1150.0     1075.6
    1125.0     1100.0
    1100.0     1075.0
    1075.0     1050.0
    1050.0     1025.0
    1025.0     1000.0
    1000.0      975.0
     975.0      950.0
     950.0      925.0
     925.0      900.0
     900.0      875.0
     875.0      850.0
     850.0      825.0
     825.0      800.0
     800.0      775.0
     775.0      750.0
     750.0      725.0
     725.0      700.0
     700.0      675.0
     675.0      650.0
     650.0      625.0
     625.0      600.0
     600.0      575.0
     575.0      550.0
     550.0      525.0
     525.0      500.0
     500.0      475.0
     475.0      450.0
     450.0      425.0
     425.0      400.0
     400.0      375.0
     400.0      375.0
