msbottom     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1350      300     0.00108684     0.00057782     0.00082828     0.00127506     0.00203706     0.00312946
    1350      350     0.00082037     0.00043884     0.00064153     0.00100334     0.00161873     0.00252485
    1350      400     0.00063963     0.00033593     0.00049754     0.00079579     0.00130968     0.00204691
    1350      450     0.00048174     0.00024195     0.00036657     0.00059605     0.00099485     0.00158876
    1350      500     0.00041972     0.00021401     0.00032538     0.00053721     0.00090146     0.00144521
    1350      550     0.00035923     0.00018427     0.00028107     0.00046655     0.00079055     0.00127654
    1350      600     0.00031910     0.00015653     0.00024306     0.00040850     0.00070183     0.00114533
    1350      650     0.00027207     0.00013507     0.00020979     0.00035261     0.00060863     0.00099639
    1350      700     0.00026940     0.00013401     0.00020816     0.00034986     0.00060388     0.00099575
    1350      750     0.00024427     0.00012226     0.00018993     0.00031912     0.00055058     0.00090814
    1350      800     0.00022997     0.00011428     0.00017610     0.00029835     0.00051731     0.00085570
    1350      850     0.00022497     0.00011192     0.00017379     0.00029207     0.00050862     0.00083777
    1350      900     0.00022466     0.00011257     0.00017489     0.00029386     0.00050715     0.00083940
    1350      950     0.00023276     0.00011798     0.00018228     0.00030477     0.00053090     0.00087446
    1350     1000     0.00024306     0.00012183     0.00018803     0.00031457     0.00054557     0.00090221
    1350     1050     0.00026887     0.00013699     0.00020876     0.00035048     0.00060478     0.00100079
    1350     1100     0.00034928     0.00017711     0.00026986     0.00045288     0.00078145     0.00129797
    1350     1150     0.00062395     0.00030871     0.00047041     0.00078974     0.00137531     0.00228101
    1350     1167     0.00082584     0.00042873     0.00065005     0.00107499     0.00185403     0.00305802
    1350     1183     0.00072469     0.00036577     0.00056238     0.00093730     0.00162541     0.00268844
    1350     1200     0.00065976     0.00033590     0.00051337     0.00085228     0.00146993     0.00241546
    1350     1250     0.00083884     0.00042586     0.00064968     0.00107851     0.00184308     0.00300973
    1400       50     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
    1400      100     0.00494277     0.00276836     0.00384234     0.00576046     0.00892952     0.01355904
    1400      150     0.00315169     0.00171066     0.00240086     0.00359032     0.00557964     0.00845783
    1400      200     0.00208711     0.00110044     0.00155082     0.00232778     0.00362633     0.00548747
    1400      250     0.00148413     0.00079128     0.00110328     0.00166003     0.00259278     0.00395480
    1400      300     0.00105633     0.00058505     0.00083063     0.00126907     0.00200767     0.00309267
    1400      350     0.00077173     0.00041317     0.00060121     0.00093642     0.00151136     0.00233604
    1400      400     0.00064402     0.00033966     0.00049828     0.00079060     0.00128887     0.00202964
    1400      450     0.00055950     0.00028728     0.00043029     0.00069415     0.00114242     0.00180856
    1400      500     0.00042779     0.00021602     0.00032805     0.00054219     0.00091846     0.00147246
    1400      550     0.00035890     0.00017698     0.00027212     0.00045329     0.00077527     0.00125634
    1400      600     0.00032815     0.00016223     0.00025090     0.00041984     0.00071777     0.00116750
    1400      650     0.00029569     0.00015044     0.00023135     0.00038570     0.00065896     0.00107618
    1400      700     0.00027408     0.00013497     0.00020962     0.00035230     0.00060793     0.00100265
    1400      750     0.00024939     0.00012419     0.00019287     0.00032416     0.00056214     0.00092634
    1400      800     0.00024154     0.00011944     0.00018582     0.00031228     0.00054388     0.00089565
    1400      850     0.00022695     0.00011456     0.00017799     0.00029907     0.00051855     0.00085162
    1400      900     0.00023182     0.00011679     0.00018122     0.00030481     0.00053084     0.00087416
    1400      950     0.00022656     0.00011328     0.00017610     0.00029581     0.00051520     0.00084860
    1400     1000     0.00023307     0.00011667     0.00018113     0.00030458     0.00053035     0.00087356
    1400     1050     0.00023630     0.00011930     0.00018414     0.00030806     0.00053427     0.00088353
    1400     1100     0.00028181     0.00014307     0.00021814     0.00036670     0.00063240     0.00105059
    1400     1150     0.00034895     0.00017764     0.00027147     0.00045016     0.00078066     0.00128670
    1400     1200     0.00059616     0.00030185     0.00045781     0.00076554     0.00132732     0.00219515
    1400     1217     0.00085434     0.00042833     0.00065298     0.00109644     0.00191004     0.00316827
    1400     1233     0.00075465     0.00038327     0.00058443     0.00097009     0.00167474     0.00277219
    1400     1250     0.00070545     0.00035577     0.00054632     0.00091020     0.00157105     0.00259173
    1400     1300     0.00079414     0.00040939     0.00062451     0.00103674     0.00177213     0.00290363
    1450       50     0.01083388     0.00555507     0.00781741     0.01184932     0.01869609     0.02898865
    1450      100     0.00514754     0.00272674     0.00380881     0.00567523     0.00881878     0.01343246
    1450      150     0.00336652     0.00177519     0.00246437     0.00369457     0.00574094     0.00870268
    1450      200     0.00210526     0.00113311     0.00158033     0.00237724     0.00369432     0.00559976
    1450      250     0.00167591     0.00089645     0.00126155     0.00191172     0.00299411     0.00455859
    1450      300     0.00106401     0.00058469     0.00083461     0.00127942     0.00202917     0.00311975
    1450      350     0.00086551     0.00046146     0.00066805     0.00103644     0.00166448     0.00258218
    1450      400     0.00069626     0.00036637     0.00054149     0.00085316     0.00139041     0.00217063
    1450      450     0.00057600     0.00030396     0.00045076     0.00072072     0.00118641     0.00186981
    1450      500     0.00046467     0.00023997     0.00036338     0.00059089     0.00098160     0.00156084
    1450      550     0.00042433     0.00021039     0.00031936     0.00052797     0.00089359     0.00143268
    1450      600     0.00034675     0.00017414     0.00026961     0.00044566     0.00076186     0.00123004
    1450      650     0.00030570     0.00015403     0.00023645     0.00039419     0.00067388     0.00109611
    1450      700     0.00028318     0.00014046     0.00021846     0.00036712     0.00063335     0.00103693
    1450      750     0.00026083     0.00012845     0.00019949     0.00033528     0.00058143     0.00095472
    1450      800     0.00024070     0.00012022     0.00018689     0.00031432     0.00054215     0.00089431
    1450      850     0.00023404     0.00011679     0.00017996     0.00030514     0.00053125     0.00087811
    1450      900     0.00022526     0.00011218     0.00017316     0.00029330     0.00051082     0.00084121
    1450      950     0.00021965     0.00010971     0.00017041     0.00028631     0.00049634     0.00082090
    1450     1000     0.00021610     0.00010725     0.00016666     0.00028004     0.00048775     0.00080634
    1450     1050     0.00022994     0.00011600     0.00017924     0.00030010     0.00052262     0.00086369
    1450     1100     0.00024063     0.00012309     0.00018726     0.00031472     0.00054573     0.00090245
    1450     1150     0.00027862     0.00014072     0.00021608     0.00036001     0.00062420     0.00103271
    1450     1200     0.00033471     0.00016713     0.00025708     0.00042832     0.00073883     0.00122697
    1450     1250     0.00063465     0.00031501     0.00048363     0.00080512     0.00138974     0.00229121
    1450     1267     0.00083536     0.00043116     0.00065531     0.00108279     0.00186793     0.00308055
    1450     1283     0.00074787     0.00037786     0.00057744     0.00095754     0.00165271     0.00273584
    1450     1300     0.00068405     0.00035708     0.00054288     0.00089685     0.00153315     0.00251303
    1450     1350     0.00081106     0.00042997     0.00065329     0.00107993     0.00182877     0.00299869
    1500       50     0.01087009     0.00541985     0.00766192     0.01165997     0.01863226     0.02901322
    1500      100     0.00500036     0.00266438     0.00372393     0.00554769     0.00859830     0.01305545
    1500      150     0.00358247     0.00190391     0.00266085     0.00396383     0.00612921     0.00923065
    1500      200     0.00208333     0.00117852     0.00165185     0.00249390     0.00388598     0.00587953
    1500      250     0.00152028     0.00083657     0.00117250     0.00177030     0.00275854     0.00419410
    1500      300     0.00124207     0.00070035     0.00099009     0.00150699     0.00236598     0.00363017
    1500      350     0.00089693     0.00048896     0.00070409     0.00108805     0.00173857     0.00268307
    1500      400     0.00073772     0.00038823     0.00056676     0.00089577     0.00145986     0.00227906
    1500      450     0.00061880     0.00032216     0.00047780     0.00076399     0.00125727     0.00196519
    1500      500     0.00048836     0.00024675     0.00037375     0.00060767     0.00101949     0.00162117
    1500      550     0.00042906     0.00021793     0.00033346     0.00054640     0.00091656     0.00146976
    1500      600     0.00035727     0.00018001     0.00027455     0.00045574     0.00077204     0.00124709
    1500      650     0.00030730     0.00015596     0.00024088     0.00040345     0.00069291     0.00113073
    1500      700     0.00030577     0.00015273     0.00023621     0.00039526     0.00067889     0.00110798
    1500      750     0.00025955     0.00012964     0.00020161     0.00033879     0.00058717     0.00096415
    1500      800     0.00023996     0.00011938     0.00018425     0.00031207     0.00054093     0.00089158
    1500      850     0.00023154     0.00011339     0.00017644     0.00029890     0.00052069     0.00085746
    1500      900     0.00022400     0.00011165     0.00017343     0.00029149     0.00050771     0.00083627
    1500      950     0.00020816     0.00010440     0.00016222     0.00027288     0.00047500     0.00078239
    1500     1000     0.00021376     0.00010591     0.00016349     0.00027692     0.00048229     0.00080003
    1500     1050     0.00021320     0.00010660     0.00016574     0.00027876     0.00048531     0.00080510
    1500     1100     0.00022662     0.00011503     0.00017785     0.00029765     0.00051605     0.00085054
    1500     1150     0.00023686     0.00012127     0.00018638     0.00031063     0.00053853     0.00088739
    1500     1200     0.00026202     0.00013203     0.00020398     0.00034144     0.00059464     0.00098258
    1500     1250     0.00035861     0.00018083     0.00027762     0.00046253     0.00079821     0.00131626
    1500     1300     0.00063176     0.00032238     0.00048790     0.00081635     0.00140911     0.00234072
    1500     1317     0.00081373     0.00042051     0.00063759     0.00105438     0.00181849     0.00300931
    1500     1333     0.00075093     0.00037609     0.00057526     0.00095382     0.00164661     0.00271549
    1500     1350     0.00064722     0.00034023     0.00051719     0.00085448     0.00146748     0.00241289
    1500     1400     0.00080170     0.00041443     0.00063372     0.00105117     0.00179654     0.00294427
    1550       50     0.01444330     0.00758299     0.01076886     0.01644846     0.02628599     0.04093795
    1550      100     0.00478193     0.00263508     0.00368286     0.00548640     0.00850492     0.01291231
    1550      150     0.00328430     0.00179784     0.00249640     0.00374188     0.00578476     0.00873332
    1550      200     0.00212007     0.00116292     0.00161577     0.00242113     0.00376283     0.00570328
    1550      250     0.00171319     0.00092018     0.00128953     0.00194707     0.00305704     0.00464498
    1550      300     0.00132368     0.00073573     0.00103508     0.00156928     0.00246356     0.00376198
    1550      350     0.00103887     0.00055567     0.00079632     0.00122599     0.00194936     0.00299155
    1550      400     0.00084100     0.00044964     0.00065085     0.00100946     0.00161309     0.00251195
    1550      450     0.00061532     0.00031837     0.00047167     0.00075476     0.00124197     0.00195767
    1550      500     0.00053906     0.00027996     0.00041713     0.00066981     0.00110780     0.00175354
    1550      550     0.00044138     0.00022800     0.00034242     0.00056081     0.00094081     0.00149619
    1550      600     0.00037341     0.00018854     0.00028808     0.00047825     0.00080981     0.00130796
    1550      650     0.00033617     0.00016756     0.00025711     0.00042887     0.00073286     0.00119217
    1550      700     0.00030096     0.00015177     0.00023330     0.00038861     0.00066734     0.00108947
    1550      750     0.00026859     0.00013258     0.00020586     0.00034609     0.00059728     0.00098159
    1550      800     0.00025374     0.00012661     0.00019693     0.00033093     0.00057625     0.00094896
    1550      850     0.00024276     0.00011981     0.00018637     0.00031319     0.00054288     0.00089479
    1550      900     0.00022090     0.00010913     0.00017051     0.00028800     0.00050142     0.00082881
    1550      950     0.00022339     0.00011205     0.00017263     0.00029239     0.00050923     0.00083859
    1550     1000     0.00020708     0.00010292     0.00016081     0.00027162     0.00047289     0.00078435
    1550     1050     0.00021847     0.00011016     0.00017116     0.00028758     0.00049863     0.00082472
    1550     1100     0.00021219     0.00010588     0.00016317     0.00027668     0.00048168     0.00079888
    1550     1150     0.00022414     0.00011207     0.00017425     0.00029306     0.00051021     0.00084039
    1550     1200     0.00022696     0.00011609     0.00017948     0.00030023     0.00052033     0.00086063
    1550     1250     0.00026433     0.00013406     0.00020580     0.00034288     0.00059438     0.00098333
    1550     1300     0.00034097     0.00016976     0.00026069     0.00043432     0.00075304     0.00124153
    1550     1350     0.00061291     0.00030769     0.00047223     0.00078733     0.00135828     0.00225667
    1550     1367     0.00078443     0.00038653     0.00059230     0.00099929     0.00174052     0.00288646
    1550     1383     0.00075588     0.00037970     0.00058361     0.00097268     0.00167817     0.00276804
    1550     1400     0.00070349     0.00036244     0.00055266     0.00091736     0.00156907     0.00258998
    1550     1450     0.00084234     0.00044569     0.00067235     0.00110714     0.00187430     0.00306208
    1600        1     1.28899995     0.20387669     0.43875095     1.43025737     2.87840597     4.33778858
    1600       50     0.01417294     0.00750637     0.01061455     0.01614693     0.02567492     0.04013789
    1600      100     0.00608902     0.00319045     0.00445953     0.00664233     0.01032265     0.01564768
    1600      150     0.00389229     0.00213814     0.00296896     0.00444907     0.00686125     0.01037652
    1600      200     0.00235663     0.00129250     0.00180230     0.00271103     0.00422431     0.00639143
    1600      250     0.00176140     0.00093973     0.00131641     0.00198821     0.00310567     0.00471388
    1600      300     0.00135270     0.00075163     0.00106259     0.00161733     0.00254558     0.00389886
    1600      350     0.00104165     0.00056503     0.00080996     0.00124686     0.00198211     0.00305638
    1600      400     0.00082090     0.00045030     0.00065530     0.00102059     0.00164667     0.00254550
    1600      450     0.00065876     0.00034376     0.00051327     0.00081497     0.00133512     0.00209473
    1600      500     0.00056020     0.00028964     0.00043382     0.00069972     0.00115177     0.00183071
    1600      550     0.00047653     0.00024523     0.00037099     0.00060319     0.00100696     0.00160790
    1600      600     0.00040540     0.00020602     0.00031520     0.00051695     0.00087536     0.00140323
    1600      650     0.00035116     0.00017736     0.00027098     0.00044952     0.00076830     0.00124033
    1600      700     0.00032678     0.00016236     0.00024955     0.00041568     0.00071053     0.00115573
    1600      750     0.00027791     0.00013627     0.00021204     0.00035622     0.00061462     0.00100618
    1600      800     0.00027120     0.00013405     0.00020825     0.00034989     0.00060366     0.00099570
    1600      850     0.00024672     0.00012076     0.00018859     0.00031857     0.00055466     0.00092002
    1600      900     0.00022959     0.00011541     0.00017936     0.00030138     0.00052264     0.00085833
    1600      950     0.00020289     0.00010035     0.00015701     0.00026493     0.00046144     0.00076528
    1600     1000     0.00022144     0.00011050     0.00017054     0.00028885     0.00050292     0.00083151
    1600     1050     0.00021066     0.00010554     0.00016262     0.00027549     0.00047990     0.00079028
    1600     1100     0.00021078     0.00010606     0.00016473     0.00027676     0.00048201     0.00079952
    1600     1150     0.00020709     0.00010376     0.00016145     0.00027124     0.00047230     0.00077777
    1600     1200     0.00023239     0.00011569     0.00017828     0.00030195     0.00052586     0.00086597
    1600     1250     0.00023637     0.00012037     0.00018491     0.00030818     0.00053409     0.00088326
    1600     1300     0.00027336     0.00013760     0.00020969     0.00035204     0.00061004     0.00100929
    1600     1350     0.00034239     0.00016886     0.00025866     0.00043641     0.00075260     0.00125028
    1600     1400     0.00057597     0.00028923     0.00044420     0.00074089     0.00128371     0.00212322
    1600     1417     0.00078551     0.00039465     0.00060143     0.00100995     0.00175007     0.00289492
    1600     1433     0.00070268     0.00036248     0.00055384     0.00091936     0.00158660     0.00261633
    1600     1450     0.00066949     0.00034762     0.00053001     0.00087978     0.00151171     0.00248483
    1600     1500     0.00083388     0.00043308     0.00066211     0.00109831     0.00187701     0.00307630
    1650       50     0.01603510     0.00860182     0.01204905     0.01819692     0.02863596     0.04427505
    1650      100     0.00591282     0.00322023     0.00446951     0.00670072     0.01041309     0.01578408
    1650      150     0.00348607     0.00180329     0.00252920     0.00378304     0.00586320     0.00890312
    1650      200     0.00219691     0.00117194     0.00163505     0.00245947     0.00382201     0.00579311
    1650      250     0.00182598     0.00101252     0.00141812     0.00214221     0.00333725     0.00504906
    1650      300     0.00135229     0.00076644     0.00107873     0.00163538     0.00256095     0.00389894
    1650      350     0.00116946     0.00064002     0.00091758     0.00141240     0.00225738     0.00348324
    1650      400     0.00090745     0.00048164     0.00069727     0.00108177     0.00172866     0.00269194
    1650      450     0.00072205     0.00037368     0.00055175     0.00086948     0.00141714     0.00221270
    1650      500     0.00058896     0.00031414     0.00046081     0.00073110     0.00119116     0.00186820
    1650      550     0.00050245     0.00025192     0.00038344     0.00062656     0.00105074     0.00168471
    1650      600     0.00044495     0.00022849     0.00034826     0.00056857     0.00095339     0.00152870
    1650      650     0.00037929     0.00018880     0.00028722     0.00047433     0.00080336     0.00129754
    1650      700     0.00032960     0.00016276     0.00025128     0.00042051     0.00072253     0.00117913
    1650      750     0.00029717     0.00014520     0.00022589     0.00037963     0.00065500     0.00107263
    1650      800     0.00027604     0.00013787     0.00021292     0.00035661     0.00061519     0.00100699
    1650      850     0.00025106     0.00012404     0.00019188     0.00032410     0.00056426     0.00092921
    1650      900     0.00022451     0.00011070     0.00017292     0.00029181     0.00050835     0.00084311
    1650      950     0.00022907     0.00011307     0.00017694     0.00029858     0.00051998     0.00086258
    1650     1000     0.00022533     0.00011120     0.00017380     0.00029358     0.00051123     0.00084505
    1650     1050     0.00021474     0.00010694     0.00016475     0.00027908     0.00048600     0.00080333
    1650     1100     0.00021441     0.00010765     0.00016586     0.00028098     0.00048946     0.00080603
    1650     1150     0.00021630     0.00010749     0.00016563     0.00028058     0.00048877     0.00081059
    1650     1200     0.00020998     0.00010299     0.00016122     0.00027199     0.00047356     0.00078843
    1650     1250     0.00021994     0.00010937     0.00017007     0.00028595     0.00049770     0.00081978
    1650     1300     0.00023116     0.00011495     0.00017878     0.00030059     0.00052336     0.00086795
    1650     1350     0.00027248     0.00013641     0.00021076     0.00035278     0.00061158     0.00101135
    1650     1400     0.00034048     0.00017315     0.00026384     0.00044281     0.00076389     0.00126005
    1650     1450     0.00058197     0.00028807     0.00044122     0.00074460     0.00129011     0.00213389
    1650     1467     0.00077518     0.00038640     0.00058909     0.00098971     0.00171511     0.00283757
    1650     1483     0.00072745     0.00037305     0.00056725     0.00093701     0.00161728     0.00266840
    1650     1500     0.00068046     0.00035664     0.00053780     0.00089557     0.00153867     0.00252935
    1650     1550     0.00077820     0.00040216     0.00061771     0.00103013     0.00176821     0.00290751
    1700       50     0.02138654     0.01051615     0.01487021     0.02262634     0.03616081     0.05682413
    1700      100     0.00611584     0.00329550     0.00460604     0.00686180     0.01066313     0.01616074
    1700      150     0.00393192     0.00211634     0.00293944     0.00440521     0.00681122     0.01036166
    1700      200     0.00273585     0.00148872     0.00208936     0.00312397     0.00484198     0.00735301
    1700      250     0.00187037     0.00101681     0.00143339     0.00215114     0.00336005     0.00512417
    1700      300     0.00156787     0.00087965     0.00124529     0.00187588     0.00293040     0.00446912
    1700      350     0.00129894     0.00071186     0.00101153     0.00154459     0.00243134     0.00372416
    1700      400     0.00088562     0.00048689     0.00070156     0.00108385     0.00173196     0.00267285
    1700      450     0.00071691     0.00038212     0.00055866     0.00087358     0.00141713     0.00220164
    1700      500     0.00060573     0.00031944     0.00047311     0.00075671     0.00124551     0.00196324
    1700      550     0.00049018     0.00025228     0.00038200     0.00062118     0.00103699     0.00165564
    1700      600     0.00045014     0.00022888     0.00035022     0.00057386     0.00096262     0.00154933
    1700      650     0.00038564     0.00019366     0.00029599     0.00049135     0.00083597     0.00135523
    1700      700     0.00034185     0.00017166     0.00026392     0.00043962     0.00075169     0.00121815
    1700      750     0.00029122     0.00014324     0.00022256     0.00037438     0.00064577     0.00105745
    1700      800     0.00027329     0.00013500     0.00021004     0.00035298     0.00060902     0.00100445
    1700      850     0.00025559     0.00012447     0.00019471     0.00032855     0.00056960     0.00093857
    1700      900     0.00024082     0.00011793     0.00018421     0.00031087     0.00053895     0.00089157
    1700      950     0.00022491     0.00011069     0.00017319     0.00029225     0.00050901     0.00084417
    1700     1000     0.00021366     0.00010694     0.00016642     0.00027960     0.00048679     0.00080761
    1700     1050     0.00020205     0.00009869     0.00015533     0.00026337     0.00045841     0.00076324
    1700     1100     0.00021986     0.00010993     0.00016941     0.00028728     0.00050009     0.00082371
    1700     1150     0.00020594     0.00010024     0.00015749     0.00026710     0.00046738     0.00077727
    1700     1200     0.00020071     0.00010036     0.00015465     0.00026200     0.00045634     0.00075699
    1700     1250     0.00021371     0.00010707     0.00016496     0.00027943     0.00048661     0.00080717
    1700     1300     0.00021245     0.00010729     0.00016684     0.00028051     0.00048823     0.00080419
    1700     1350     0.00023696     0.00011835     0.00018377     0.00030903     0.00053827     0.00088639
    1700     1400     0.00026883     0.00013650     0.00021006     0.00034997     0.00060666     0.00100327
    1700     1450     0.00036277     0.00017986     0.00027613     0.00046004     0.00079393     0.00131427
    1700     1500     0.00057375     0.00029013     0.00044535     0.00074198     0.00127998     0.00211948
    1700     1517     0.00081339     0.00041761     0.00063324     0.00105904     0.00183695     0.00303793
    1700     1533     0.00072279     0.00036715     0.00056380     0.00093931     0.00162863     0.00269450
    1700     1550     0.00067289     0.00035157     0.00053309     0.00088153     0.00150643     0.00246933
    1700     1600     0.00084495     0.00045257     0.00068406     0.00112506     0.00190519     0.00310086
    1750        1     3.44928325     0.48191189     0.96852744     2.97314404     5.98348981     9.01714009
    1750       50     0.01551483     0.00896801     0.01267600     0.01929054     0.03082649     0.04844082
    1750      100     0.00612121     0.00322287     0.00447621     0.00670983     0.01042732     0.01580549
    1750      150     0.00420543     0.00227953     0.00316632     0.00474585     0.00735724     0.01117097
    1750      200     0.00276091     0.00150890     0.00209546     0.00314016     0.00486851     0.00739177
    1750      250     0.00218243     0.00118917     0.00165854     0.00249590     0.00387845     0.00587858
    1750      300     0.00153521     0.00085369     0.00120130     0.00182152     0.00285260     0.00434282
    1750      350     0.00127408     0.00070320     0.00099919     0.00152616     0.00239589     0.00367625
    1750      400     0.00106669     0.00057120     0.00081919     0.00126081     0.00201449     0.00309429
    1750      450     0.00075860     0.00041156     0.00059773     0.00094084     0.00151851     0.00236824
    1750      500     0.00062441     0.00032231     0.00047757     0.00076411     0.00125767     0.00198264
    1750      550     0.00053846     0.00027664     0.00041435     0.00066857     0.00111095     0.00175189
    1750      600     0.00046645     0.00023000     0.00035209     0.00057736     0.00096857     0.00155883
    1750      650     0.00038104     0.00019384     0.00029430     0.00048637     0.00082361     0.00132989
    1750      700     0.00034120     0.00016900     0.00025971     0.00043261     0.00073944     0.00120287
    1750      750     0.00031236     0.00015370     0.00023906     0.00040173     0.00069306     0.00113469
    1750      800     0.00029160     0.00014458     0.00022464     0.00037744     0.00065139     0.00107022
    1750      850     0.00026039     0.00012838     0.00019970     0.00033560     0.00058432     0.00096245
    1750      900     0.00024108     0.00011774     0.00018419     0.00031079     0.00054115     0.00089135
    1750      950     0.00023172     0.00011193     0.00017586     0.00029827     0.00052191     0.00086491
    1750     1000     0.00022017     0.00010846     0.00016941     0.00028589     0.00049804     0.00082601
    1750     1050     0.00022454     0.00011069     0.00017326     0.00029231     0.00050894     0.00083829
    1750     1100     0.00020359     0.00009863     0.00015494     0.00026277     0.00045965     0.00076455
    1750     1150     0.00020343     0.00010061     0.00015594     0.00026520     0.00046199     0.00076622
    1750     1200     0.00021195     0.00010586     0.00016409     0.00027679     0.00048190     0.00079662
    1750     1250     0.00020987     0.00010285     0.00016075     0.00027154     0.00047284     0.00078702
    1750     1300     0.00020546     0.00010284     0.00015983     0.00026856     0.00046791     0.00077600
    1750     1350     0.00022069     0.00011120     0.00017293     0.00029074     0.00050384     0.00083328
    1750     1400     0.00024292     0.00012277     0.00018981     0.00031751     0.00055288     0.00091044
    1750     1450     0.00026854     0.00013553     0.00020942     0.00035036     0.00060448     0.00100025
    1750     1500     0.00033627     0.00016716     0.00025680     0.00042833     0.00074231     0.00122781
    1750     1550     0.00062229     0.00031411     0.00048221     0.00080396     0.00139399     0.00230577
    1750     1567     0.00082216     0.00042332     0.00064354     0.00106319     0.00183519     0.00301460
    1750     1583     0.00066744     0.00034005     0.00052276     0.00087126     0.00150384     0.00247965
    1750     1600     0.00067860     0.00035209     0.00053530     0.00088433     0.00151891     0.00249740
    1750     1650     0.00078089     0.00040498     0.00061910     0.00102698     0.00175459     0.00287652
