# Percent efficiencies for sum of all SR bins, each SR bin, SR bin groups:
   mstop   mchi10    xsec (pb)      all SRs          SR1          SR2          SR3          SR4          SR5          SR6          SR7          SR8          SR9         SR10         SR11         SR12         SR13         SR14         SR15         SR16         SR17         SR18         SR19         SR20         SR21         SR22         SR23         SR24         SR25         SR26         SR27         SR28         SR29         SR30         SR31         SR32         SR33         SR34         SR35         SR36         SR37         SR38         SR39         SR40         SR41         SR42         SR43         SR44         SR45         SR46         SR47         SR48         SR49    hadronSRs    leptonSRs     shortSRs      longSRs      1DTkSRs  multiDTkSRs 
     400        1    2.150e+00      0.02929      0.00050      0.00000      0.00000      0.00000      0.00000      0.00078      0.00000      0.00000      0.00000      0.00000      0.00037      0.00000      0.00339      0.00294      0.00049      0.00176      0.00096      0.00000      0.00000      0.00000      0.00901      0.00429      0.00301      0.00000      0.00029      0.00000      0.00000      0.00000      0.00038      0.00000      0.00000      0.00000      0.00069      0.00043      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.02751      0.00178      0.02366      0.00563      0.02929      0.00000 
     400       50    2.150e+00     10.13510      0.09977      0.00335      0.04593      0.00000      0.37588      0.00455      0.08929      0.00135      0.78110      0.00043      0.20561      0.00763      2.72133      0.01176      0.78870      0.01669      0.43066      0.00444      0.11695      0.00074      2.02879      0.01494      0.57284      0.00703      0.00000      0.00000      0.00000      0.00000      0.00320      0.00000      0.00315      0.00000      0.14268      0.00425      0.04410      0.00000      0.00090      0.00000      0.00064      0.00000      0.00241      0.00000      0.00643      0.00000      0.20833      0.00075      0.05021      0.00000      1.33828      8.32976      0.46705      6.83951      1.95731      8.79682      1.33828 
     400      100    2.150e+00      8.41505      0.07269      0.00060      0.02884      0.00249      0.21626      0.00524      0.12741      0.02637      0.52857      0.02217      0.23447      0.02709      1.97951      0.07299      1.02223      0.08322      0.29167      0.00421      0.14258      0.00915      1.48837      0.04329      0.61352      0.03694      0.00317      0.00000      0.00219      0.00000      0.00421      0.00000      0.00039      0.00000      0.09647      0.00031      0.03502      0.00089      0.00552      0.00000      0.00037      0.00000      0.00741      0.00111      0.00180      0.00044      0.13163      0.01142      0.07453      0.00733      0.95098      7.07985      0.38423      4.98682      2.47726      7.46408      0.95098 
     400      150    2.150e+00      5.91584      0.03816      0.01119      0.02690      0.01139      0.13440      0.01195      0.09833      0.02937      0.27172      0.05108      0.25237      0.08510      1.24878      0.12130      0.78783      0.23798      0.19295      0.00953      0.11629      0.00934      0.86212      0.05657      0.47062      0.06542      0.00000      0.00000      0.00000      0.00000      0.00035      0.00061      0.00262      0.00000      0.04999      0.00766      0.04173      0.00403      0.00172      0.00000      0.00000      0.00000      0.00210      0.00000      0.00334      0.00000      0.09889      0.01333      0.04870      0.00330      0.43678      5.20070      0.27836      3.18440      2.29466      5.47906      0.43678 
     400      200    2.150e+00      3.87982      0.02806      0.00551      0.03542      0.01771      0.07871      0.01219      0.05946      0.01194      0.24682      0.07108      0.15543      0.09897      0.71209      0.13076      0.65969      0.22262      0.09591      0.00607      0.04115      0.00284      0.44934      0.01966      0.22955      0.04452      0.00000      0.00000      0.00005      0.00000      0.00185      0.00000      0.00055      0.00026      0.03646      0.00467      0.01669      0.00176      0.00513      0.00012      0.00196      0.00000      0.00137      0.00000      0.00348      0.00077      0.06832      0.00430      0.02146      0.00689      0.26825      3.43550      0.17608      1.97842      1.63315      3.61157      0.26825 
     400      217    2.150e+00      3.16922      0.03198      0.00270      0.01711      0.00769      0.06265      0.00855      0.07608      0.02014      0.19369      0.04693      0.14157      0.06078      0.58826      0.14118      0.47803      0.24950      0.05006      0.00195      0.01072      0.00411      0.32435      0.01092      0.23829      0.05240      0.00090      0.00000      0.00000      0.00054      0.00252      0.00000      0.00227      0.00000      0.03024      0.00098      0.02239      0.01455      0.00202      0.00000      0.00000      0.00000      0.00114      0.00000      0.00106      0.00114      0.05309      0.00276      0.02372      0.01076      0.17948      2.81964      0.17011      1.55687      1.43287      2.98974      0.17948 
     400      233    2.150e+00      2.76586      0.03507      0.00717      0.01881      0.00475      0.07456      0.00970      0.07280      0.03121      0.16475      0.04146      0.12804      0.07562      0.47572      0.12291      0.38672      0.24843      0.04684      0.00133      0.02408      0.00774      0.26274      0.03896      0.18342      0.05057      0.00000      0.00000      0.00000      0.00000      0.00167      0.00000      0.00047      0.00031      0.02074      0.00470      0.00510      0.00656      0.00109      0.00000      0.00000      0.00103      0.00229      0.00000      0.00072      0.00000      0.03120      0.00651      0.01728      0.00427      0.14854      2.51340      0.10392      1.34940      1.26791      2.61732      0.14854 
     400      250    2.150e+00      2.31692      0.03400      0.00047      0.02629      0.00695      0.04662      0.01409      0.04335      0.02561      0.10678      0.03711      0.11516      0.07137      0.35401      0.10054      0.32276      0.16992      0.04305      0.00040      0.02290      0.01014      0.26144      0.02069      0.14968      0.05697      0.00000      0.00000      0.00000      0.00000      0.00073      0.00000      0.00082      0.00031      0.03303      0.00461      0.02144      0.00785      0.00066      0.00000      0.00000      0.00262      0.00224      0.00066      0.00000      0.00000      0.02448      0.00110      0.01536      0.01413      0.14658      2.04031      0.13003      1.08672      1.08362      2.17034      0.14658 
     400      300    2.150e+00      1.28261      0.02659      0.00379      0.01217      0.01328      0.05794      0.00732      0.05231      0.01609      0.07650      0.02398      0.06045      0.03235      0.14044      0.03494      0.14904      0.10931      0.02256      0.00209      0.01572      0.01003      0.14228      0.04244      0.07446      0.03766      0.00000      0.00000      0.00000      0.00000      0.00000      0.00052      0.00047      0.00000      0.00591      0.00211      0.01424      0.00232      0.00111      0.00000      0.00039      0.00175      0.00129      0.00031      0.00055      0.00000      0.01020      0.00254      0.00679      0.00038      0.06798      1.16376      0.05087      0.60486      0.60977      1.21463      0.06798 
     400      315    2.150e+00      2.21632      0.04177      0.00629      0.02553      0.01124      0.03713      0.01308      0.03589      0.01391      0.13721      0.04238      0.08916      0.04983      0.26032      0.09813      0.29072      0.22758      0.04401      0.00323      0.02863      0.01068      0.22373      0.04892      0.19079      0.10957      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00040      0.00030      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.17590      2.03973      0.00069      0.95619      1.08423      2.04042      0.17590 
     450        1    1.110e+00      0.02421      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00059      0.00000      0.00000      0.00000      0.00969      0.00095      0.00070      0.00000      0.00000      0.00160      0.00000      0.00000      0.00158      0.00058      0.00030      0.00000      0.00089      0.00000      0.00000      0.00000      0.00000      0.00110      0.00000      0.00000      0.00217      0.00167      0.00034      0.00128      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00077      0.00000      0.00000      0.00000      0.01600      0.00821      0.02160      0.00262      0.02421      0.00000 
     450       50    1.110e+00     11.41815      0.13635      0.00086      0.02337      0.00019      0.30887      0.00494      0.09553      0.00000      0.68526      0.00743      0.16382      0.00167      2.68118      0.02394      0.75378      0.00616      0.65560      0.00215      0.13931      0.00743      2.78885      0.05191      0.77661      0.00805      0.00179      0.00000      0.00000      0.00000      0.00313      0.00000      0.00029      0.00000      0.19997      0.00066      0.04174      0.00000      0.00152      0.00000      0.00000      0.00000      0.00242      0.00000      0.00446      0.00000      0.24300      0.00068      0.06115      0.00000      1.53411      9.32324      0.56080      7.80049      2.08356      9.88404      1.53411 
     450      100    1.110e+00     10.22157      0.08984      0.00337      0.05004      0.00120      0.25991      0.00530      0.10808      0.00398      0.59785      0.00686      0.22483      0.00632      2.19539      0.05828      0.92903      0.02948      0.45047      0.01676      0.16804      0.01007      2.40552      0.04055      0.93006      0.04194      0.00351      0.00000      0.00000      0.00000      0.00268      0.00000      0.00400      0.00000      0.09086      0.00172      0.05082      0.00959      0.00978      0.00000      0.00000      0.00000      0.00589      0.00000      0.00046      0.00000      0.20230      0.00128      0.07800      0.00197      1.12557      8.63315      0.46285      6.44810      2.64789      9.09600      1.12557 
     450      150    1.110e+00      7.43177      0.04934      0.01205      0.04106      0.00631      0.11356      0.01919      0.11270      0.02055      0.33887      0.05193      0.24005      0.05101      1.26475      0.12253      0.84247      0.17801      0.31748      0.02730      0.17910      0.02260      1.48202      0.05860      0.77108      0.08645      0.00337      0.00000      0.00000      0.00000      0.00224      0.00000      0.00065      0.00000      0.06291      0.00941      0.03858      0.00943      0.00000      0.00197      0.00066      0.00000      0.00811      0.00000      0.00153      0.00375      0.11328      0.01264      0.06697      0.00938      0.67788      6.40901      0.34487      4.07154      2.68234      6.75389      0.67788 
