# Percent efficiencies for sum of all SR bins, each SR bin, SR bin groups:
   msbot   mchi10    xsec (pb)      all SRs          SR1          SR2          SR3          SR4          SR5          SR6          SR7          SR8          SR9         SR10         SR11         SR12         SR13         SR14         SR15         SR16         SR17         SR18         SR19         SR20         SR21         SR22         SR23         SR24         SR25         SR26         SR27         SR28         SR29         SR30         SR31         SR32         SR33         SR34         SR35         SR36         SR37         SR38         SR39         SR40         SR41         SR42         SR43         SR44         SR45         SR46         SR47         SR48         SR49    hadronSRs    leptonSRs     shortSRs      longSRs      1DTkSRs  multiDTkSRs 
     400        1    2.150e+00      0.00126      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00126      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00126      0.00126      0.00000      0.00126      0.00000 
     400       50    2.150e+00      1.09858      0.00310      0.00000      0.00074      0.00000      0.03248      0.00041      0.01122      0.00078      0.00366      0.00000      0.00260      0.00000      0.36024      0.01076      0.06020      0.00255      0.00000      0.00000      0.00000      0.00000      0.10265      0.00290      0.00814      0.00094      0.01935      0.00000      0.00114      0.00000      0.01005      0.00000      0.00170      0.00000      0.23288      0.00408      0.02996      0.00132      0.00257      0.00000      0.00000      0.00000      0.01015      0.00000      0.00114      0.00000      0.06356      0.00260      0.01588      0.00000      0.09882      0.60337      0.39639      0.86145      0.13831      0.99976      0.09882 
     400      100    2.150e+00      2.12276      0.00592      0.00137      0.00099      0.00000      0.09311      0.02123      0.00905      0.00410      0.01543      0.00759      0.00069      0.00086      0.63847      0.19824      0.08858      0.04779      0.00250      0.00094      0.00000      0.00000      0.12471      0.03285      0.02559      0.00690      0.01065      0.00929      0.00224      0.00277      0.01059      0.00654      0.00232      0.00145      0.17785      0.03936      0.03112      0.00890      0.00139      0.00032      0.00000      0.00131      0.00449      0.00313      0.00215      0.00000      0.15415      0.03040      0.01322      0.00679      0.27545      1.32690      0.52041      1.59050      0.25681      1.84731      0.27545 
     400      150    2.150e+00      2.32777      0.00622      0.00823      0.00000      0.00388      0.08173      0.07277      0.01464      0.01333      0.01219      0.01061      0.00263      0.00253      0.47526      0.46824      0.06280      0.10570      0.00000      0.00107      0.00124      0.00000      0.09986      0.06341      0.01367      0.00692      0.00525      0.01005      0.00075      0.00183      0.00678      0.00211      0.00155      0.00065      0.09973      0.07120      0.02000      0.01459      0.00355      0.00474      0.00077      0.00180      0.00396      0.00963      0.00079      0.00000      0.10559      0.07980      0.01816      0.01475      0.32282      1.52692      0.47803      1.70197      0.30299      2.00495      0.32282 
     400      200    2.150e+00      1.21710      0.00440      0.00590      0.00000      0.00000      0.02881      0.04969      0.00219      0.00763      0.00620      0.01029      0.00000      0.00042      0.15451      0.26593      0.01916      0.06073      0.00000      0.00076      0.00000      0.00103      0.02835      0.03215      0.00650      0.00380      0.00000      0.01745      0.00077      0.00276      0.00072      0.01143      0.00000      0.00234      0.05242      0.07127      0.00551      0.01551      0.00378      0.00738      0.00081      0.00000      0.00661      0.01286      0.00088      0.00484      0.03621      0.07891      0.00834      0.01618      0.17167      0.68844      0.35699      0.88601      0.15941      1.04543      0.17167 
     400      217    2.150e+00      0.77246      0.00012      0.00536      0.00089      0.00120      0.00833      0.03300      0.00356      0.00681      0.00171      0.00667      0.00018      0.00000      0.08906      0.16454      0.01030      0.03139      0.00000      0.00000      0.00000      0.00000      0.01983      0.03536      0.00574      0.00423      0.00162      0.00825      0.00079      0.00359      0.00548      0.00924      0.00103      0.00096      0.01982      0.05728      0.00264      0.00535      0.00197      0.00300      0.00067      0.00129      0.00362      0.01509      0.00054      0.00079      0.03283      0.06175      0.00000      0.00855      0.09803      0.42827      0.24616      0.58393      0.09049      0.67443      0.09803 
     400      233    2.150e+00      0.98485      0.00937      0.00768      0.00182      0.00000      0.02324      0.06300      0.00633      0.01302      0.00570      0.00278      0.00000      0.00186      0.11015      0.21541      0.01395      0.03038      0.00118      0.00000      0.00000      0.00001      0.03528      0.03599      0.00633      0.00445      0.00216      0.01074      0.00217      0.00229      0.00365      0.00576      0.00048      0.00172      0.02867      0.04263      0.00472      0.01241      0.00327      0.00574      0.00000      0.00272      0.00386      0.00472      0.00109      0.00103      0.03375      0.06140      0.00433      0.00687      0.15074      0.58793      0.24617      0.71611      0.11799      0.83410      0.15074 
     400      250    2.150e+00      1.20505      0.00639      0.01136      0.00000      0.00140      0.05740      0.12050      0.01330      0.02640      0.00248      0.00550      0.00135      0.00090      0.11308      0.21497      0.00852      0.03685      0.00203      0.00260      0.00048      0.00101      0.03967      0.05985      0.00758      0.00524      0.00000      0.01188      0.00000      0.00306      0.00439      0.00509      0.00000      0.00000      0.03096      0.04762      0.00432      0.01900      0.00377      0.01213      0.00077      0.00142      0.00222      0.00505      0.00000      0.00235      0.03870      0.06592      0.00395      0.01350      0.19010      0.73885      0.27609      0.86355      0.15139      1.01494      0.19010 
     400      300    2.150e+00      1.01989      0.01544      0.02787      0.00298      0.01125      0.07959      0.21338      0.00936      0.03886      0.00490      0.00419      0.00000      0.00000      0.02138      0.05341      0.00702      0.00549      0.01056      0.00948      0.00000      0.00315      0.05579      0.08306      0.00397      0.01078      0.00000      0.00413      0.00143      0.00201      0.00000      0.00000      0.00000      0.00000      0.02108      0.04932      0.00162      0.00814      0.00224      0.01184      0.00049      0.00089      0.00000      0.00096      0.00000      0.00039      0.02564      0.05055      0.00261      0.00734      0.15727      0.67193      0.19068      0.74482      0.11779      0.86261      0.15727 
     400      315    2.150e+00      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000 
